window,neurons,learning_rate,batch_size,rmse
12,32,0.0005,4,64.69164154639657
16,32,0.0001,2,71.19698316347683
12,32,0.0001,2,77.26988466484364
4,16,0.0005,2,78.3066384517758
4,16,0.0005,4,78.45312484332297
4,16,0.0001,2,78.75429006580696
4,16,0.0001,4,78.85798003059692
12,32,0.0001,4,81.56255193620315
8,32,0.0005,2,83.45193576311976
16,32,0.0001,4,84.08701144943727
8,32,0.0005,4,85.94360423669384
12,16,0.0001,2,87.51125266244131
8,32,0.0001,2,88.96131300231335
12,16,0.0005,2,89.73626986235874
8,32,0.0001,4,89.7988922950089
12,16,0.0001,4,89.93509238554286
12,16,0.0005,4,95.25269518368732
4,32,0.0005,4,98.46743568063295
12,32,0.0005,2,99.7652241360581
8,16,0.0005,2,102.47114284361852
4,32,0.0005,2,102.63083279123913
4,32,0.0001,4,102.99810083113651
8,16,0.0005,4,103.52733562659964
4,32,0.0001,2,103.70254351428117
8,16,0.0001,4,104.72308558034847
8,16,0.0001,2,105.66407724262599
16,16,0.0005,2,108.9471881820743
16,16,0.0005,4,115.46400597110387
16,32,0.0005,4,117.02089449283064
16,16,0.0001,4,124.8662241110331
16,16,0.0001,2,133.712569619819
16,32,0.0005,2,265.5203498890139
