buffer,window,rmse
216,8,113.60964378176612
144,8,121.00548332216583
216,4,124.8007347695437
216,12,124.89462315214033
144,4,128.79587461004658
216,16,131.87045824046055
144,12,145.39489734852611
144,16,152.7110546779214
72,12,166.34835165602135
72,8,189.87008441866382
72,4,202.06418644622468
72,16,266.1124341465288
