buffer,window,rmse,mape,directional_accuracy_quantile,directional_accuracy_thr
120,8,58.1555521693618,0.9703527132008175,0.8214285714285714,1.0
120,12,65.16185511468025,1.0921438457460229,0.76,1.0
120,6,49.47946170958555,0.8198551166195805,0.7586206896551724,1.0
120,10,70.85124958519066,1.1955124821307426,0.7407407407407407,1.0
120,4,47.30210581802304,0.7755617041663802,0.7333333333333333,1.0
300,4,9.66136367578886,0.12394668514247817,0.7333333333333333,1.0
360,4,9.758556839324578,0.12593608498832684,0.6666666666666666,1.0
180,6,12.312929760269725,0.1747144967283239,0.6551724137931034,1.0
180,4,12.178497820254355,0.17308321864104084,0.6333333333333333,1.0
240,4,10.478211344809873,0.140820487454008,0.6333333333333333,1.0
360,6,10.066901014203216,0.13018977122404934,0.6206896551724138,1.0
180,8,12.3606010525889,0.17290848115944107,0.6071428571428571,1.0
240,12,10.104767261497344,0.13728874243305567,0.6,1.0
240,10,10.931027036872846,0.14576163782427615,0.5925925925925926,1.0
300,10,9.503499412391438,0.11983330873269193,0.5925925925925926,1.0
300,6,10.023999622245936,0.12964794399227147,0.5862068965517241,1.0
300,8,10.114377329765825,0.12876635695716926,0.5714285714285714,1.0
180,10,12.119847691680553,0.1702512610683775,0.5555555555555556,1.0
240,6,10.666755538850369,0.14318635549912107,0.5517241379310345,1.0
240,8,10.868609306521387,0.14546630416594272,0.5357142857142857,1.0
180,12,11.08050162888449,0.15799503467768944,0.52,1.0
300,12,8.482147660911368,0.11006488307530883,0.52,1.0
