buffer,window,n_estimators,max_depth,min_samples_split,rmse
576,16,400,5,5,153.63775521490805
576,32,400,5,5,158.38014303948813
288,32,400,5,5,160.38889777515578
288,16,400,5,5,161.94908559392843
288,48,400,5,5,222.71627395457065
288,64,400,5,5,251.0459452534472
