long,short,signal,profit
27,17,13,3.0050986065067757
33,13,13,2.975995091278219
29,17,11,2.9591270638960787
29,15,13,2.843677246743855
31,17,11,2.775394456822435
33,15,11,2.7497103217804315
29,13,13,2.7337204718399875
31,15,11,2.7129869947034915
27,17,11,2.645469864260241
33,17,9,2.638441689070762
31,15,13,2.619685386104639
31,13,13,2.616378459880854
31,17,9,2.551291827419389
33,13,11,2.536866817703781
33,11,13,2.536866817703781
27,15,13,2.5223170639808234
29,15,11,2.4581897568397126
33,15,9,2.445347912318735
29,15,9,2.4313513422051174
31,15,9,2.427329417548316
33,17,7,2.417399540418744
31,17,13,2.397531836818952
31,17,7,2.3958577075622904
33,17,13,2.3905660572535226
31,11,9,2.374265985007456
33,13,9,2.373203028762779
29,17,9,2.3630865618792627
27,17,9,2.345674208143105
29,13,11,2.345674208143105
29,11,13,2.345674208143105
33,11,11,2.3424919776679665
27,13,9,2.333761371803383
27,11,11,2.333761371803383
27,15,7,2.328688932195829
31,11,13,2.32243919694447
31,13,11,2.32243919694447
33,11,9,2.3202252054988386
29,11,11,2.31293700306556
27,15,11,2.3049845147970687
27,13,13,2.272962656906277
29,17,13,2.2395709966680535
31,13,9,2.21316106463689
27,15,9,2.205753673586807
29,15,7,2.201165764594002
31,13,7,2.200629918599453
33,13,7,2.1971384115122214
31,11,11,2.1948712307334257
27,13,7,2.194273125990946
29,17,7,2.1907430038362024
33,15,7,2.1907430038362024
27,11,9,2.1847198883083734
27,17,7,2.1678584823483558
31,15,7,2.1626731261598673
29,13,9,2.1544497792642305
27,11,13,2.1413786974723408
27,13,11,2.1413786974723408
29,11,9,2.0868070990761467
29,13,7,2.0589605042104226
33,11,7,2.043751782792771
31,11,7,1.9449494600261132
33,17,11,1.696094687052904
33,15,13,1.6926476470587288
29,11,7,1.4585447794094033
27,11,7,1.209647252803151
