buffer,window,n_estimators,max_depth,min_samples_split,rmse
216,4,400,5,5,182.93910612463998
216,8,400,5,5,190.59015041357202
144,8,400,5,5,212.92947806527758
144,4,400,5,5,215.95486925011613
72,4,400,5,5,222.88839066143447
72,8,400,5,5,226.98221240185632
216,12,400,5,5,228.6851468942578
216,16,400,5,5,236.31084986448158
144,12,400,5,5,243.87508847224908
144,16,400,5,5,263.21905629953704
72,16,400,5,5,288.0620119149003
72,12,400,5,5,300.9647231039372
