buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
490,1,6.8362897979183295,0.06278094720811721,1.0,0.4298245614035088
480,1,6.837562439600253,0.0629363827763574,1.0,0.4473684210526316
450,1,6.847981581820041,0.06299997740468516,1.0,0.40350877192982454
470,1,6.857807901777123,0.06347103735631966,1.0,0.4473684210526316
440,1,6.876813299399123,0.0639102977121215,1.0,0.4298245614035088
460,1,6.877630732910281,0.06348048742091487,1.0,0.4649122807017544
310,1,6.882663139676558,0.0640405144430202,1.0,0.4649122807017544
420,1,6.883541006866285,0.06390790934607336,1.0,0.37719298245614036
360,1,6.884538229521395,0.0637940379452984,1.0,0.4473684210526316
390,1,6.8848020985728065,0.06350188934726379,1.0,0.42105263157894735
400,1,6.884985145205435,0.0633643694451117,1.0,0.38596491228070173
430,1,6.886695421160982,0.06379368221966537,1.0,0.38596491228070173
300,1,6.886767391793693,0.06443246917004748,1.0,0.4473684210526316
280,1,6.888376108438297,0.0646869457809879,1.0,0.4649122807017544
410,1,6.895727874462334,0.06397089791355558,1.0,0.3684210526315789
370,1,6.906317755067186,0.06388062782112071,1.0,0.42105263157894735
240,1,6.9116205705698555,0.06489591792617555,1.0,0.4473684210526316
380,1,6.9145033153945485,0.06441824378493494,1.0,0.45614035087719296
340,1,6.916258645840399,0.06460846453780326,1.0,0.4824561403508772
270,1,6.919013848020578,0.06520830529759228,1.0,0.45217391304347826
330,1,6.923737051897206,0.06494670276485238,1.0,0.49122807017543857
350,1,6.9287309798241,0.06519285476184586,1.0,0.4473684210526316
250,1,6.934161116908955,0.06507836138633608,1.0,0.47368421052631576
290,1,6.93602166612564,0.06557661575179033,1.0,0.4649122807017544
320,1,6.950637229993574,0.06536230180267731,1.0,0.4473684210526316
480,2,6.951198978709288,0.06450805480265176,1.0,0.37168141592920356
220,1,6.9549371123988415,0.06526734313257704,1.0,0.4824561403508772
230,1,6.960325311779336,0.0657572696264204,1.0,0.5087719298245614
450,2,6.9629297137240584,0.0644861528225369,1.0,0.36283185840707965
260,1,6.972160149107289,0.0661971476142881,1.0,0.47368421052631576
490,2,6.97302874370668,0.06486615354429998,1.0,0.4778761061946903
310,2,6.973178588854513,0.06531200903219833,1.0,0.504424778761062
210,1,6.973913913815596,0.06597101209546682,1.0,0.45614035087719296
390,2,6.980081324888548,0.06458977325006016,1.0,0.40707964601769914
420,2,6.981494595093077,0.06516721319878828,1.0,0.39823008849557523
280,2,6.983959944312741,0.06609747271819079,1.0,0.49557522123893805
300,2,6.986925952741265,0.06546293798437158,1.0,0.4424778761061947
400,2,6.9877998540045905,0.0649315330545532,1.0,0.45132743362831856
