buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
250,1,500,5,2,176.86108383669068,0.6774193548387096,0.18421052631578946
250,1,250,5,2,177.17196278972438,0.6774193548387096,0.15789473684210525
250,1,500,6,2,177.6788701534612,0.6612903225806451,0.15789473684210525
250,1,500,4,2,178.02536824857688,0.6774193548387096,0.21052631578947367
250,1,250,6,2,178.095352530699,0.6720430107526881,0.15789473684210525
400,1,250,4,2,178.42080331110068,0.6827956989247311,0.21052631578947367
250,1,250,4,2,178.56972206874076,0.6774193548387096,0.21052631578947367
400,1,500,4,2,178.90525525282234,0.6827956989247311,0.21052631578947367
250,2,500,6,2,180.3570416878933,0.6939890710382514,0.24324324324324326
250,2,500,5,2,180.3648066306817,0.6939890710382514,0.24324324324324326
250,2,250,5,2,180.7949575475896,0.6885245901639344,0.24324324324324326
250,2,250,6,2,180.91695170117427,0.6939890710382514,0.24324324324324326
250,2,500,4,2,181.2286099503817,0.6885245901639344,0.24324324324324326
300,1,250,5,2,181.4117779836502,0.6505376344086021,0.23684210526315788
300,1,250,4,2,181.83542976553156,0.6559139784946236,0.23684210526315788
250,2,250,4,2,181.83783826506013,0.6885245901639344,0.24324324324324326
300,1,500,5,2,181.84074083787516,0.6559139784946236,0.23684210526315788
400,1,250,5,2,181.962136455962,0.6827956989247311,0.18421052631578946
300,1,250,6,2,182.29710544285064,0.6559139784946236,0.23684210526315788
400,1,500,5,2,182.38036951412184,0.6720430107526881,0.18421052631578946
300,1,500,4,2,182.3809589423006,0.6559139784946236,0.23684210526315788
300,1,500,6,2,182.81641998250757,0.6559139784946236,0.23684210526315788
300,2,250,6,2,183.12305291962278,0.6557377049180327,0.24324324324324326
300,2,500,6,2,183.45633463880048,0.6557377049180327,0.24324324324324326
400,1,250,6,2,183.65647367057363,0.6720430107526881,0.18421052631578946
300,2,250,5,2,183.79135433537886,0.6557377049180327,0.24324324324324326
300,2,500,5,2,183.88234809488392,0.6557377049180327,0.24324324324324326
450,1,250,6,2,183.9619571431169,0.6774193548387096,0.15789473684210525
450,1,500,6,2,183.97250096516697,0.6827956989247311,0.18421052631578946
400,1,500,6,2,183.99776633401748,0.6720430107526881,0.18421052631578946
300,2,250,4,2,184.34594525061937,0.6775956284153005,0.24324324324324326
450,1,250,5,2,184.36253473803018,0.6935483870967742,0.18421052631578946
450,1,500,5,2,184.47718379163842,0.6935483870967742,0.18421052631578946
250,4,250,6,2,184.8271560424842,0.672316384180791,0.2222222222222222
250,4,500,6,2,184.91409508364853,0.672316384180791,0.2222222222222222
300,2,500,4,2,184.93125452057333,0.6775956284153005,0.2702702702702703
250,4,500,5,2,185.02845133577384,0.672316384180791,0.2222222222222222
250,4,250,5,2,185.20360212332545,0.6779661016949152,0.2222222222222222
250,4,500,4,2,185.28119712252732,0.672316384180791,0.2222222222222222
250,4,250,4,2,185.36765403098468,0.672316384180791,0.2222222222222222
450,1,500,4,2,188.87531629848164,0.6935483870967742,0.21052631578947367
450,1,250,4,2,188.94034301063647,0.6935483870967742,0.21052631578947367
300,4,500,5,2,190.92866292734237,0.672316384180791,0.25
300,4,250,5,2,191.1200036832162,0.6779661016949152,0.25
300,4,500,6,2,191.29533560410584,0.6666666666666666,0.2222222222222222
300,4,250,6,2,191.54184747634923,0.655367231638418,0.2222222222222222
300,4,250,4,2,191.95055231255265,0.672316384180791,0.25
300,4,500,4,2,193.08572405409353,0.6779661016949152,0.25
200,1,500,5,2,195.03765064766546,0.521505376344086,0.39473684210526316
200,1,500,4,2,195.15108173251562,0.5483870967741935,0.39473684210526316
200,1,500,6,2,195.3466503942183,0.521505376344086,0.39473684210526316
200,1,250,4,2,195.48888375614737,0.5483870967741935,0.39473684210526316
200,1,250,5,2,195.69201717269038,0.521505376344086,0.39473684210526316
200,4,250,5,2,195.94996138482566,0.5819209039548022,0.2777777777777778
200,1,250,6,2,196.0607182903789,0.521505376344086,0.39473684210526316
200,2,500,5,2,196.51821227980594,0.5628415300546448,0.3783783783783784
200,4,500,5,2,196.54598050856478,0.5932203389830508,0.2777777777777778
200,4,250,6,2,196.57496028195357,0.5932203389830508,0.2777777777777778
400,2,250,4,2,196.7889067696946,0.6939890710382514,0.24324324324324326
200,4,500,6,2,196.79231756147163,0.5932203389830508,0.2777777777777778
200,2,500,6,2,196.83058732473964,0.5628415300546448,0.3783783783783784
200,2,250,5,2,197.00544262016865,0.5683060109289617,0.3783783783783784
200,2,500,4,2,197.0861537880821,0.5683060109289617,0.3783783783783784
200,2,250,6,2,197.28815482202066,0.5683060109289617,0.3783783783783784
200,4,250,4,2,197.29404963355802,0.5875706214689266,0.2777777777777778
200,4,500,4,2,197.43311149476787,0.5932203389830508,0.2777777777777778
200,2,250,4,2,197.44993183151206,0.5683060109289617,0.3783783783783784
400,2,250,5,2,197.77643295784773,0.6830601092896175,0.2702702702702703
150,1,250,6,2,197.90440205899344,0.532258064516129,0.39473684210526316
400,2,500,4,2,197.9130805125973,0.6939890710382514,0.24324324324324326
150,1,250,5,2,198.29150292905138,0.532258064516129,0.39473684210526316
400,4,250,4,2,198.29913875342393,0.6779661016949152,0.2222222222222222
400,2,250,6,2,198.3926276127231,0.6830601092896175,0.2702702702702703
150,1,500,6,2,198.79494440146559,0.532258064516129,0.39473684210526316
150,1,500,5,2,199.1382928271494,0.532258064516129,0.39473684210526316
400,2,500,5,2,199.19884547522008,0.6830601092896175,0.24324324324324326
400,4,500,4,2,199.32201704658561,0.6779661016949152,0.2222222222222222
400,2,500,6,2,199.3733909597258,0.6830601092896175,0.2702702702702703
400,4,250,6,2,199.4363377249226,0.6779661016949152,0.25
400,4,250,5,2,199.82740856709472,0.6779661016949152,0.2222222222222222
150,1,250,4,2,199.85538087866288,0.532258064516129,0.39473684210526316
150,1,500,4,2,200.49650549235452,0.532258064516129,0.39473684210526316
400,4,500,5,2,200.52941856265815,0.6779661016949152,0.2222222222222222
400,4,500,6,2,200.72567746605768,0.6779661016949152,0.2222222222222222
350,1,250,4,2,200.90338938805584,0.6827956989247311,0.2631578947368421
350,1,500,4,2,200.97268220789684,0.6827956989247311,0.2631578947368421
350,1,250,5,2,201.09095898830978,0.6774193548387096,0.23684210526315788
350,1,500,5,2,201.29942610849227,0.6774193548387096,0.23684210526315788
350,1,250,6,2,202.12037713499717,0.6720430107526881,0.23684210526315788
350,1,500,6,2,202.31240527343115,0.6774193548387096,0.23684210526315788
350,2,500,4,2,202.58881566675672,0.6830601092896175,0.24324324324324326
350,2,250,4,2,202.63094932797566,0.6885245901639344,0.24324324324324326
350,2,250,5,2,202.8589672692258,0.6775956284153005,0.24324324324324326
350,2,500,5,2,202.97588936635518,0.6775956284153005,0.24324324324324326
350,2,250,6,2,203.09322795367513,0.6721311475409836,0.24324324324324326
350,2,500,6,2,203.20526843847395,0.6721311475409836,0.24324324324324326
450,2,500,4,2,203.5145377416321,0.6939890710382514,0.2702702702702703
350,4,250,4,2,204.2536983416411,0.6779661016949152,0.25
450,2,250,4,2,204.28742667138772,0.6939890710382514,0.24324324324324326
450,2,500,5,2,204.41463254347755,0.6939890710382514,0.2702702702702703
450,2,500,6,2,204.41789040205592,0.6939890710382514,0.2702702702702703
450,2,250,6,2,204.45977572786578,0.6939890710382514,0.2702702702702703
350,4,500,6,2,204.4711067067658,0.6779661016949152,0.25
350,4,250,5,2,204.50688632185137,0.6779661016949152,0.25
350,4,500,5,2,204.51041776304714,0.672316384180791,0.2222222222222222
350,4,250,6,2,204.77137288397643,0.6779661016949152,0.25
150,2,250,5,2,204.80114146471035,0.5409836065573771,0.40540540540540543
450,2,250,5,2,204.82454927720215,0.6939890710382514,0.24324324324324326
150,2,250,6,2,204.84723478607094,0.546448087431694,0.40540540540540543
450,4,500,4,2,204.9882458961916,0.6779661016949152,0.2222222222222222
350,4,500,4,2,205.05022639908785,0.672316384180791,0.25
150,2,500,6,2,205.36621746955223,0.546448087431694,0.40540540540540543
450,4,500,5,2,205.3944063949307,0.6779661016949152,0.2222222222222222
150,2,500,5,2,205.4694137239167,0.546448087431694,0.40540540540540543
450,4,500,6,2,205.51092116004344,0.6779661016949152,0.25
150,2,250,4,2,205.5453355005273,0.5355191256830601,0.40540540540540543
450,4,250,6,2,205.681734513578,0.6779661016949152,0.25
450,4,250,4,2,206.08779589350246,0.6779661016949152,0.2222222222222222
150,2,500,4,2,206.24964491287955,0.5355191256830601,0.40540540540540543
450,4,250,5,2,206.26347847789603,0.6779661016949152,0.2222222222222222
150,4,500,6,2,207.04345643670706,0.536723163841808,0.2777777777777778
150,4,250,5,2,207.3087898626932,0.5423728813559322,0.2777777777777778
150,4,500,5,2,207.72911780766708,0.5310734463276836,0.2777777777777778
150,4,250,6,2,207.81075758409034,0.5480225988700564,0.2777777777777778
150,4,250,4,2,208.76016977609228,0.5254237288135594,0.2777777777777778
150,4,500,4,2,208.93091893513972,0.5254237288135594,0.2777777777777778
100,1,250,4,2,209.79402045971187,0.5645161290322581,0.3157894736842105
100,1,250,5,2,209.94995119929945,0.5645161290322581,0.3157894736842105
100,1,500,4,2,210.10652005033648,0.5645161290322581,0.3157894736842105
100,1,500,5,2,210.2227914458695,0.5645161290322581,0.3157894736842105
100,1,250,6,2,210.30858600423824,0.5645161290322581,0.3157894736842105
100,1,500,6,2,210.53607902466223,0.5645161290322581,0.3157894736842105
100,2,500,5,2,212.50350039403858,0.5519125683060109,0.2972972972972973
100,2,250,5,2,212.57871996209553,0.5519125683060109,0.2972972972972973
100,2,500,4,2,212.64865700743658,0.5519125683060109,0.2972972972972973
100,2,500,6,2,212.7161972814839,0.5519125683060109,0.2972972972972973
100,2,250,4,2,212.7273387563788,0.5573770491803278,0.2972972972972973
100,2,250,6,2,212.77107303330067,0.5519125683060109,0.2972972972972973
100,4,250,6,2,215.5760343996579,0.559322033898305,0.2222222222222222
100,4,500,6,2,215.81931842456507,0.5480225988700564,0.2222222222222222
100,4,500,4,2,215.970740225984,0.5480225988700564,0.2222222222222222
100,4,250,4,2,216.06912243996663,0.5480225988700564,0.2222222222222222
100,4,250,5,2,216.225594187107,0.5536723163841808,0.2222222222222222
100,4,500,5,2,216.50829889479883,0.5480225988700564,0.2222222222222222
