long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
18,23,8,1.9194978764490545,81,1.0004884269952043,3.956258661155585
20,22,8,1.9177299945533524,79,1.0004880813057337,3.8558423152971244
19,23,8,1.9177299945533524,79,1.0004880813057337,3.8558423152971244
19,22,8,1.909714328425339,80,1.000489270459888,3.914163679103933
16,20,11,1.9085315781415153,74,1.0005248159362348,3.883637928136302
16,23,9,1.907646596626569,80,1.0004900833876034,3.920667100828213
20,23,8,1.9075004302361878,76,1.0004943330675506,3.756931313384948
18,24,8,1.9030986595526727,79,1.0004830521876173,3.8161122821764595
17,19,11,1.8986400809201605,73,1.0005242063749082,3.8267065368309954
21,22,8,1.8959757039878895,76,1.0004910219799295,3.731767047462718
17,23,9,1.894084411954081,79,1.0004782306191473,3.7780218912632413
18,21,10,1.8852930874178864,73,1.0005153638320285,3.7621559738077477
15,19,12,1.8851918348667676,73,1.0005240277773213,3.8254027744448127
15,23,11,1.881798205139887,72,1.0005204588979109,3.747304064957674
18,21,9,1.880533576732944,80,1.0004705078105525,3.7640624844185364
19,20,9,1.880533576732944,80,1.0004705078105525,3.7640624844185364
19,20,10,1.879789890638353,74,1.0005080633635604,3.7596688903468776
17,22,10,1.8782186777224334,73,1.0005143162702068,3.754508772510267
17,22,9,1.8776535754037267,80,1.0004705894108112,3.764715286489184
16,24,9,1.8772614586047265,79,1.00047469303691,3.750074991588668
16,21,11,1.876710363002903,73,1.0005118876155046,3.7367795931835506
20,21,8,1.8760957007710857,80,1.0004711893976257,3.7695151810052265
16,24,10,1.8741664865454204,74,1.000507261301753,3.753733632971878
17,24,8,1.8740650177705624,82,1.0004681140981755,3.8385356050386457
15,19,13,1.8725731595086288,71,1.0005253789265693,3.7301903786426003
18,20,10,1.871531347206071,73,1.0005133470703294,3.7474336134044557
18,22,9,1.8713492480491842,78,1.0004753928793066,3.7080644585923905
16,18,13,1.8692949449954588,72,1.000516135588411,3.71617623655847
15,24,10,1.8664068035389272,77,1.000478835282071,3.687031671947907
16,18,12,1.86609644273462,71,1.0005271663435806,3.7428810394217784
17,20,11,1.8647658807651426,72,1.0005136309235723,3.6981426497201606
15,21,12,1.8647658807651426,72,1.0005136309235723,3.6981426497201606
15,23,10,1.8645502651780077,77,1.0004816244590358,3.708508334574605
15,22,11,1.8582904635803212,74,1.0005047364272424,3.7350495615926764
16,22,11,1.8576516590668497,71,1.0005162061980806,3.6650640063713564
16,21,10,1.8564023867240094,77,1.0004802422938042,3.697865662291048
15,21,19,1.8549935720449582,52,1.000591476280564,3.0756766589329354
16,17,22,1.8549935720449582,52,1.000591476280564,3.0756766589329354
19,21,15,1.8549935720449582,52,1.000591476280564,3.0756766589329354
16,22,17,1.8549935720449582,52,1.000591476280564,3.0756766589329354
15,19,21,1.8549935720449582,52,1.000591476280564,3.0756766589329354
17,22,16,1.8549935720449582,52,1.000591476280564,3.0756766589329354
15,20,20,1.8549935720449582,52,1.000591476280564,3.0756766589329354
15,18,14,1.8547706286214427,71,1.0005146599691206,3.6540857807562017
17,23,10,1.852885957011888,73,1.0004986185216114,3.639915207763351
18,19,11,1.8522942358668788,71,1.0005133532497676,3.6448080733494703
19,24,8,1.8491125668372042,76,1.000470603718957,3.5765882640722184
16,22,10,1.8466567101665237,76,1.0004774900947295,3.6289247199437003
20,23,7,1.8448758356479036,82,1.0004617161135503,3.7860721311114567
17,21,17,1.8446036765382066,52,1.000584288651381,3.0383009871808815
16,18,21,1.8446036765382066,52,1.000584288651381,3.0383009871808815
16,20,19,1.8446036765382066,52,1.000584288651381,3.0383009871808815
16,19,20,1.8446036765382066,52,1.000584288651381,3.0383009871808815
16,21,18,1.8446036765382066,52,1.000584288651381,3.0383009871808815
18,21,16,1.8446036765382066,52,1.000584288651381,3.0383009871808815
19,20,16,1.8446036765382066,52,1.000584288651381,3.0383009871808815
15,24,11,1.8443203738487979,73,1.000496358375608,3.6234161419379913
15,18,13,1.8436062962101518,69,1.0005261519165711,3.630448224341037
19,21,9,1.8432819879735913,76,1.0004721872391968,3.5886230178963845
17,24,9,1.840844278901694,75,1.0004727044383286,3.545283287464618
18,23,9,1.8382725921233076,76,1.0004682513147274,3.5587099919276537
17,20,10,1.837512900062135,76,1.000474589919429,3.60688338766079
17,18,12,1.8374809499747375,71,1.0005130172140428,3.64242221970515
16,19,12,1.8370128809434652,71,1.0005127304881534,3.6403864658890015
18,19,10,1.836031901945883,76,1.0004737506884434,3.6005052321693705
15,22,18,1.834864244325915,53,1.0005755370983396,3.0503466211992993
18,22,15,1.834864244325915,53,1.0005755370983396,3.0503466211992993
15,18,22,1.834864244325915,53,1.0005755370983396,3.0503466211992993
16,23,16,1.834864244325915,53,1.0005755370983396,3.0503466211992993
16,20,12,1.8336247687064888,70,1.0005117791760973,3.582454232681577
15,20,12,1.8317416844168732,71,1.0005112738389754,3.6300442567258813
15,23,17,1.83165835330565,53,1.0005733270273873,3.0386332451527602
20,21,14,1.83165835330565,53,1.0005733270273873,3.0386332451527602
17,23,15,1.83165835330565,53,1.0005733270273873,3.0386332451527602
19,22,14,1.83165835330565,53,1.0005733270273873,3.0386332451527602
15,17,23,1.83165835330565,53,1.0005733270273873,3.0386332451527602
19,22,9,1.8300084953348774,75,1.0004728823187696,3.5466173907716674
16,17,13,1.8287672819739833,69,1.0005210911308118,3.595528802600954
15,21,11,1.827648009990622,75,1.0004767834633934,3.5758759754500065
20,21,9,1.8229786278248818,74,1.0004752133570762,3.5165788423641464
17,21,10,1.8211922925715351,75,1.0004695278162843,3.5214586221324016
18,20,17,1.820981499649482,51,1.000579083274791,2.9533247014340054
17,18,20,1.820981499649482,51,1.000579083274791,2.9533247014340054
17,20,18,1.820981499649482,51,1.000579083274791,2.9533247014340054
21,22,7,1.8206404823827498,81,1.0004540084258124,3.677468249081295
17,21,11,1.8198875931225422,71,1.0004990523638169,3.543271783100272
19,23,9,1.8163769573393815,71,1.0005010666755318,3.5575733962772387
17,21,9,1.8162592929541899,81,1.0004545751395364,3.6820586302452964
16,17,14,1.814463025739449,71,1.000502223897218,3.5657896702479115
18,20,9,1.814227301092985,80,1.000456305565235,3.650444521879124
15,17,14,1.8090069423217874,69,1.0005142230522328,3.5481390604061667
15,24,9,1.8076438562523627,82,1.000448883860687,3.680847657633856
15,22,10,1.8066460300686131,79,1.0004577791430556,3.616455230138785
