long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
21,24,24,3.4022925889485514,19,1.0015990959730967,3.0382823488837962
21,22,22,3.358332192095407,19,1.001560345398505,2.964656257159272
22,23,24,3.3285380818704673,19,1.0015500009811673,2.945001864218086
23,24,22,3.3285380818704673,19,1.0015500009811673,2.945001864218086
22,24,23,3.3285380818704673,19,1.0015500009811673,2.945001864218086
18,23,24,3.3143137710824817,19,1.0015312214519687,2.909320758740667
19,23,23,3.3143137710824817,19,1.0015312214519687,2.909320758740667
22,24,19,3.3143137710824817,19,1.0015312214519687,2.909320758740667
21,24,20,3.3143137710824817,19,1.0015312214519687,2.909320758740667
23,24,18,3.3143137710824817,19,1.0015312214519687,2.909320758740667
18,24,23,3.3143137710824817,19,1.0015312214519687,2.909320758740667
20,23,22,3.3143137710824817,19,1.0015312214519687,2.909320758740667
20,22,23,3.3143137710824817,19,1.0015312214519687,2.909320758740667
20,24,21,3.3143137710824817,19,1.0015312214519687,2.909320758740667
22,23,20,3.3143137710824817,19,1.0015312214519687,2.909320758740667
21,23,21,3.3143137710824817,19,1.0015312214519687,2.909320758740667
19,22,24,3.3143137710824817,19,1.0015312214519687,2.909320758740667
20,21,24,3.3143137710824817,19,1.0015312214519687,2.909320758740667
19,24,22,3.3143137710824817,19,1.0015312214519687,2.909320758740667
19,21,22,3.2969787999675373,19,1.0015766820178122,2.9956958338434676
20,22,20,3.2969787999675373,19,1.0015766820178122,2.9956958338434676
21,22,19,3.2969787999675373,19,1.0015766820178122,2.9956958338434676
19,22,21,3.2969787999675373,19,1.0015766820178122,2.9956958338434676
20,21,21,3.2969787999675373,19,1.0015766820178122,2.9956958338434676
19,24,21,3.2735661751945826,19,1.0015344171252845,2.915392538040365
20,24,20,3.2735661751945826,19,1.0015344171252845,2.915392538040365
19,21,24,3.2735661751945826,19,1.0015344171252845,2.915392538040365
19,22,23,3.2735661751945826,19,1.0015344171252845,2.915392538040365
20,21,23,3.2735661751945826,19,1.0015344171252845,2.915392538040365
21,22,21,3.2735661751945826,19,1.0015344171252845,2.915392538040365
21,23,20,3.2735661751945826,19,1.0015344171252845,2.915392538040365
19,23,22,3.2735661751945826,19,1.0015344171252845,2.915392538040365
21,24,19,3.2735661751945826,19,1.0015344171252845,2.915392538040365
22,23,19,3.2735661751945826,19,1.0015344171252845,2.915392538040365
20,23,21,3.2735661751945826,19,1.0015344171252845,2.915392538040365
20,22,22,3.2735661751945826,19,1.0015344171252845,2.915392538040365
18,23,23,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
20,22,21,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
19,22,22,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
17,24,23,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
17,23,24,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
23,24,17,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
20,23,20,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
21,22,20,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
22,24,18,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
19,23,21,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
20,21,22,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
18,22,24,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
18,24,22,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
21,23,19,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
19,21,23,3.2647753025134976,19,1.0015325998758966,2.9119397642034537
16,24,24,3.2510173680207024,19,1.0015232897210777,2.8942504700476874
17,23,22,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
21,24,17,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
21,23,18,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
20,24,18,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
18,20,24,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
19,20,23,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
20,23,19,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
17,22,23,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
17,24,21,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
22,23,17,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
18,22,22,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
18,21,23,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
17,21,24,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
18,24,20,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
19,23,20,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
18,23,21,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
19,24,19,3.2205482047914202,19,1.0015242188670743,2.8960158474411077
17,24,24,3.179349798487588,19,1.0015144174049175,2.8773930693433396
19,20,22,3.1592997796583866,19,1.0015114849917697,2.8718214843621874
20,21,20,3.1592997796583866,19,1.0015114849917697,2.8718214843621874
19,22,20,3.1592997796583866,19,1.0015114849917697,2.8718214843621874
20,22,19,3.1592997796583866,19,1.0015114849917697,2.8718214843621874
19,21,21,3.1592997796583866,19,1.0015114849917697,2.8718214843621874
15,23,23,3.134411742509086,19,1.001495705108619,2.841839706376358
15,24,22,3.134411742509086,19,1.001495705108619,2.841839706376358
15,22,24,3.134411742509086,19,1.001495705108619,2.841839706376358
22,24,15,3.134411742509086,19,1.001495705108619,2.841839706376358
16,22,23,3.131522398290846,19,1.0014920411445358,2.8348781746179315
19,24,18,3.131522398290846,19,1.0014920411445358,2.8348781746179315
17,24,20,3.131522398290846,19,1.0014920411445358,2.8348781746179315
17,22,22,3.131522398290846,19,1.0014920411445358,2.8348781746179315
21,24,16,3.131522398290846,19,1.0014920411445358,2.8348781746179315
16,21,24,3.131522398290846,19,1.0014920411445358,2.8348781746179315
17,23,21,3.131522398290846,19,1.0014920411445358,2.8348781746179315
16,24,21,3.131522398290846,19,1.0014920411445358,2.8348781746179315
20,24,17,3.131522398290846,19,1.0014920411445358,2.8348781746179315
17,20,24,3.131522398290846,19,1.0014920411445358,2.8348781746179315
18,19,24,3.131522398290846,19,1.0014920411445358,2.8348781746179315
18,24,19,3.131522398290846,19,1.0014920411445358,2.8348781746179315
17,21,23,3.131522398290846,19,1.0014920411445358,2.8348781746179315
21,23,17,3.131522398290846,19,1.0014920411445358,2.8348781746179315
16,23,22,3.131522398290846,19,1.0014920411445358,2.8348781746179315
22,23,16,3.131522398290846,19,1.0014920411445358,2.8348781746179315
23,24,21,3.1306464471461393,19,1.0015647772749785,2.9730768224591144
21,24,23,3.1306464471461393,19,1.0015647772749785,2.9730768224591144
21,23,24,3.1306464471461393,19,1.0015647772749785,2.9730768224591144
20,24,24,3.1306464471461393,19,1.0015647772749785,2.9730768224591144
19,21,20,3.128085719888217,19,1.001491272100609,2.833416991157276
20,21,19,3.128085719888217,19,1.001491272100609,2.833416991157276
19,22,19,3.128085719888217,19,1.001491272100609,2.833416991157276
19,20,21,3.128085719888217,19,1.001491272100609,2.833416991157276
22,23,22,3.124298160295272,19,1.001565306724926,2.9740827773592433
21,23,23,3.124298160295272,19,1.001565306724926,2.9740827773592433
22,24,21,3.124298160295272,19,1.001565306724926,2.9740827773592433
21,24,22,3.124298160295272,19,1.001565306724926,2.9740827773592433
21,22,24,3.124298160295272,19,1.001565306724926,2.9740827773592433
19,24,20,3.1212981101554194,19,1.0015014933660593,2.852837395512486
19,20,24,3.1212981101554194,19,1.0015014933660593,2.852837395512486
20,24,19,3.1212981101554194,19,1.0015014933660593,2.852837395512486
