window,profit,numero_operaciones,return_factor,ganancia_total
13,inf,10,1.0035219527901702,3.521952790170183
14,inf,9,1.0040005606281937,3.6005045653741474
15,inf,9,1.0040346443004284,3.6311798703855045
16,inf,7,1.0050681421589418,3.5476995112592635
17,inf,7,1.0057811261407585,4.0467882985311086
18,inf,6,1.0062512615872865,3.7507569523719546
12,172.05559484110583,13,1.0030196409945873,3.9255332929633298
11,171.56632968295963,13,1.0030110040065359,3.914305208496558
10,11.345734227752818,15,1.002676291126657,4.014436689985377
9,4.212200379684897,17,1.001978781756264,3.3639289856489007
