window,profit,numero_operaciones,return_factor,ganancia_total
18,3.392841412129582,17,1.0015804280404277,2.6867276687270434
13,3.20968366232281,28,1.0011915375218445,3.336305061164514
17,3.1012626100406795,18,1.001286286492105,2.3153156857889785
12,3.066368763010237,31,1.001016611348684,3.151495180920414
11,2.9164486225216004,34,1.0010210345196782,3.4715173669055805
16,2.750285852909853,20,1.0009867169410984,1.9734338821967392
10,2.3406310072986947,40,1.000899570162528,3.5982806501121747
15,2.224499152821056,21,1.0008237103401247,1.729791714262029
14,2.0530715101816597,22,1.000724928456013,1.5948426032284622
9,1.999115956122601,45,1.000709355730447,3.1921007870111326
