buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
280,1,18.044405993278634,0.0766348149394773,0.9983164983164983,0.5042016806722689
310,1,18.050209186589647,0.07663148099901552,0.9983164983164983,0.5462184873949579
300,1,18.05636655373697,0.07667707617787053,0.9983164983164983,0.5714285714285714
370,1,18.088073257837852,0.07696112817146956,0.9983164983164983,0.4957983193277311
340,1,18.109686582020807,0.07709004710323086,0.9983164983164983,0.48739495798319327
280,2,18.11152696331833,0.07680236315356417,0.9983079526226735,0.5126050420168067
320,1,18.129561436026993,0.07706502931219827,0.9983164983164983,0.5378151260504201
270,1,18.134455074746597,0.07713078489318453,0.9983164983164983,0.5630252100840336
360,1,18.139257944108685,0.07730442316207359,0.9983164983164983,0.5210084033613446
310,2,18.154774849291165,0.07694173270449774,0.9983079526226735,0.5462184873949579
330,1,18.16134698983632,0.07737479363262452,0.9983164983164983,0.5126050420168067
290,1,18.19002440922002,0.07747332960807207,0.9983164983164983,0.5042016806722689
300,2,18.195043632816404,0.07726743514288166,0.9983079526226735,0.5378151260504201
350,1,18.213533382091683,0.07788984151954127,0.9983164983164983,0.5294117647058824
460,1,18.215704988432492,0.0778601756093704,0.9983164983164983,0.4666666666666667
340,2,18.216438628386246,0.07742657168961609,0.9983079526226735,0.5210084033613446
370,2,18.216570709098626,0.07741664331664078,0.9983079526226735,0.4957983193277311
270,2,18.22872552268854,0.0776000483611696,0.9983079526226735,0.48739495798319327
300,3,18.240262659000624,0.07789144816440882,0.9982993197278912,0.5
310,3,18.252582186479653,0.07776153480250259,0.9982993197278912,0.5254237288135594
280,3,18.26192663737317,0.0777736591737099,0.9982993197278912,0.5084745762711864
480,1,18.26338885034068,0.07835098798356716,0.9983164983164983,0.453781512605042
310,4,18.273125123493756,0.07781731721991685,0.9982905982905983,0.5299145299145299
470,1,18.280797426508506,0.07821253618039345,0.9983164983164983,0.42857142857142855
400,1,18.2819794571207,0.07837856463950377,0.9983164983164983,0.4583333333333333
280,4,18.282289981831376,0.07779416289896753,0.9982905982905983,0.5299145299145299
250,1,18.28344408654011,0.07770426904858704,0.9983164983164983,0.5378151260504201
450,1,18.291985069168078,0.07847440136881964,0.9983164983164983,0.453781512605042
490,1,18.293871757032264,0.07857638585337487,0.9983164983164983,0.4369747899159664
320,2,18.295816968504806,0.07778947800345949,0.9983079526226735,0.5126050420168067
430,1,18.301960545928345,0.07861763179185674,0.9983164983164983,0.4369747899159664
340,3,18.305408398421196,0.07844890283542778,0.9982993197278912,0.5084745762711864
370,3,18.305962834151753,0.07845513370344254,0.9982993197278912,0.5
460,2,18.312304575559665,0.07829075956757628,0.9983079526226735,0.46218487394957986
260,1,18.31524828789033,0.07813604716262658,0.9983164983164983,0.5462184873949579
270,3,18.31560183201876,0.07839122005530771,0.9982993197278912,0.4661016949152542
370,4,18.324490398716883,0.07852930456302998,0.9982905982905983,0.5213675213675214
250,2,18.32604708061545,0.07780531867320098,0.9983079526226735,0.4789915966386555
290,2,18.329576774909697,0.07810129744209912,0.9983079526226735,0.4957983193277311
330,2,18.331475278113118,0.07814378518672331,0.9983079526226735,0.5126050420168067
340,4,18.331792180117365,0.07859633929349519,0.9982905982905983,0.5384615384615384
360,2,18.335726112831797,0.07815911628382913,0.9983079526226735,0.5042016806722689
320,3,18.337686452725325,0.07815143121951748,0.9982993197278912,0.5338983050847458
390,1,18.36994912295399,0.07899954569006655,0.9983164983164983,0.48739495798319327
300,4,18.374949582138942,0.07886057414022679,0.9982905982905983,0.47863247863247865
420,1,18.37672403261558,0.079197138199777,0.9983164983164983,0.47058823529411764
290,3,18.380747645670056,0.07862376836547953,0.9982993197278912,0.5423728813559322
460,3,18.388157584845228,0.07881911127845469,0.9982993197278912,0.4661016949152542
440,1,18.388798558973424,0.07921146609604977,0.9983164983164983,0.44537815126050423
330,3,18.398322986651454,0.07921784472542308,0.9982993197278912,0.4915254237288136
360,3,18.400350528378347,0.07923157106997211,0.9982993197278912,0.4830508474576271
430,2,18.400976460154226,0.07906460982299862,0.9983079526226735,0.453781512605042
350,2,18.403384782504865,0.07862131866509611,0.9983079526226735,0.4957983193277311
480,2,18.415868424088778,0.07902412830001261,0.9983079526226735,0.4369747899159664
410,1,18.416860091391104,0.07933155949773596,0.9983164983164983,0.42857142857142855
320,4,18.421423551238995,0.07864003324805471,0.9982905982905983,0.5213675213675214
