buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
400,2,500,6,2,12.900621071317223,1.0,0.5945945945945946
250,2,250,6,2,12.904208770006512,1.0,0.6756756756756757
400,2,250,6,2,12.907047684594541,1.0,0.5945945945945946
250,2,250,5,2,12.917501138083239,1.0,0.6756756756756757
250,2,500,6,2,12.940881912231333,1.0,0.6756756756756757
250,2,500,5,2,13.003899276369287,1.0,0.6756756756756757
400,2,250,5,2,13.05988743887153,1.0,0.5945945945945946
400,2,500,5,2,13.061218936011832,1.0,0.5945945945945946
200,2,500,5,2,13.176013335984617,1.0,0.6216216216216216
200,2,250,5,2,13.188274416148928,1.0,0.6216216216216216
200,2,250,6,2,13.20745580262045,1.0,0.6216216216216216
200,2,500,6,2,13.210697483165355,1.0,0.6216216216216216
250,1,250,5,2,13.213559668972499,1.0,0.6578947368421053
250,1,250,6,2,13.217811915208488,1.0,0.6578947368421053
250,1,500,6,2,13.22354901238375,1.0,0.6578947368421053
250,1,500,5,2,13.233625967196584,1.0,0.6578947368421053
250,2,250,4,2,13.40664497565636,1.0,0.5945945945945946
200,2,250,4,2,13.430409968272897,1.0,0.6216216216216216
200,2,500,4,2,13.436731308016908,1.0,0.6216216216216216
250,2,500,4,2,13.460342529074284,1.0,0.6216216216216216
400,4,500,5,2,13.537044620137038,1.0,0.5277777777777778
200,1,250,5,2,13.55127841703515,1.0,0.5789473684210527
400,4,250,5,2,13.565490732904525,1.0,0.5277777777777778
200,1,500,5,2,13.565767384013936,1.0,0.6052631578947368
400,4,500,6,2,13.5699794716532,1.0,0.5277777777777778
400,1,250,6,2,13.58177395956703,1.0,0.5526315789473685
400,1,500,6,2,13.601766739603011,1.0,0.5526315789473685
250,1,250,4,2,13.619693816997902,1.0,0.631578947368421
450,1,500,5,2,13.621730018728817,1.0,0.6578947368421053
200,1,250,6,2,13.625888562626411,1.0,0.5263157894736842
450,1,250,5,2,13.638557410601008,1.0,0.631578947368421
200,1,500,6,2,13.643924441118159,1.0,0.5789473684210527
400,4,250,6,2,13.645088877138988,1.0,0.5277777777777778
350,2,500,6,2,13.646004836931848,1.0,0.6756756756756757
350,2,250,6,2,13.646469771880133,1.0,0.6756756756756757
450,2,500,5,2,13.653933240786039,1.0,0.6756756756756757
400,1,250,5,2,13.662370835249968,1.0,0.5789473684210527
250,1,500,4,2,13.664148118847269,1.0,0.6052631578947368
400,1,500,5,2,13.680600651174224,1.0,0.5789473684210527
450,2,500,6,2,13.682289674797655,1.0,0.6486486486486487
450,2,250,5,2,13.683661161674868,1.0,0.7027027027027027
450,2,250,6,2,13.683704450946488,1.0,0.6486486486486487
450,4,500,5,2,13.686753960094263,1.0,0.5555555555555556
450,1,250,6,2,13.707482034420895,1.0,0.6842105263157895
450,1,500,6,2,13.71209980005512,1.0,0.7105263157894737
200,1,500,4,2,13.714256691292924,1.0,0.5789473684210527
200,1,250,4,2,13.715910812997306,1.0,0.5789473684210527
350,2,250,5,2,13.754762035178878,1.0,0.6756756756756757
250,4,500,5,2,13.758884484924675,1.0,0.6666666666666666
450,4,500,6,2,13.778336431442947,1.0,0.5555555555555556
450,4,250,5,2,13.780550418011154,1.0,0.5555555555555556
350,2,500,5,2,13.793822819309513,1.0,0.6486486486486487
250,4,250,5,2,13.820351019465518,1.0,0.6666666666666666
450,4,250,6,2,13.821153609984494,1.0,0.5555555555555556
