long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
15,22,24,4.904857686546803,23,1.0021347630818622,4.909955088283092
15,24,22,4.904857686546803,23,1.0021347630818622,4.909955088283092
15,23,23,4.904857686546803,23,1.0021347630818622,4.909955088283092
22,24,15,4.904857686546803,23,1.0021347630818622,4.909955088283092
19,21,20,4.862485753835185,23,1.0021299991624626,4.898998073664394
20,21,19,4.862485753835185,23,1.0021299991624626,4.898998073664394
19,20,21,4.862485753835185,23,1.0021299991624626,4.898998073664394
21,24,16,4.827629375769454,23,1.0020925428116358,4.812848466762121
16,24,21,4.827629375769454,23,1.0020925428116358,4.812848466762121
16,21,24,4.827629375769454,23,1.0020925428116358,4.812848466762121
15,21,22,4.761023551831923,23,1.001950854596486,4.4869655719175485
21,22,15,4.761023551831923,23,1.001950854596486,4.4869655719175485
15,22,21,4.761023551831923,23,1.001950854596486,4.4869655719175485
18,24,24,4.698281163695541,18,1.002116701199863,3.810062159753547
18,21,21,4.693638284766229,23,1.0021101611810235,4.853370716353761
18,23,19,4.693638284766229,23,1.0021101611810235,4.853370716353761
18,20,22,4.693638284766229,23,1.0021101611810235,4.853370716353761
19,22,19,4.693638284766229,23,1.0021101611810235,4.853370716353761
19,23,18,4.693638284766229,23,1.0021101611810235,4.853370716353761
18,19,23,4.693638284766229,23,1.0021101611810235,4.853370716353761
18,22,20,4.693638284766229,23,1.0021101611810235,4.853370716353761
20,22,18,4.693638284766229,23,1.0021101611810235,4.853370716353761
18,24,16,4.6448578862185546,22,1.001976535427924,4.348377941432707
16,18,24,4.6448578862185546,22,1.001976535427924,4.348377941432707
17,24,17,4.6448578862185546,22,1.001976535427924,4.348377941432707
19,20,18,4.6448578862185546,22,1.001976535427924,4.348377941432707
18,19,20,4.6448578862185546,22,1.001976535427924,4.348377941432707
18,20,19,4.6448578862185546,22,1.001976535427924,4.348377941432707
16,24,18,4.6448578862185546,22,1.001976535427924,4.348377941432707
20,23,15,4.6448578862185546,22,1.001976535427924,4.348377941432707
15,20,23,4.6448578862185546,22,1.001976535427924,4.348377941432707
15,23,20,4.6448578862185546,22,1.001976535427924,4.348377941432707
20,21,16,4.6306689247866455,22,1.001968841030548,4.331450267205505
16,21,20,4.6306689247866455,22,1.001968841030548,4.331450267205505
16,20,21,4.6306689247866455,22,1.001968841030548,4.331450267205505
15,24,19,4.629983213141423,22,1.0019684691824808,4.3306322014577185
15,19,24,4.629983213141423,22,1.0019684691824808,4.3306322014577185
19,24,15,4.629983213141423,22,1.0019684691824808,4.3306322014577185
17,23,20,4.6296109717791785,23,1.0020735826262288,4.769240040326335
17,22,21,4.6296109717791785,23,1.0020735826262288,4.769240040326335
21,22,17,4.6296109717791785,23,1.0020735826262288,4.769240040326335
20,23,17,4.6296109717791785,23,1.0020735826262288,4.769240040326335
17,21,22,4.6296109717791785,23,1.0020735826262288,4.769240040326335
17,20,23,4.6296109717791785,23,1.0020735826262288,4.769240040326335
16,23,21,4.626177777740662,23,1.0020716212558325,4.76472888841446
20,24,16,4.626177777740662,23,1.0020716212558325,4.76472888841446
18,24,18,4.626177777740662,23,1.0020716212558325,4.76472888841446
16,22,22,4.626177777740662,23,1.0020716212558325,4.76472888841446
16,21,23,4.626177777740662,23,1.0020716212558325,4.76472888841446
17,24,19,4.626177777740662,23,1.0020716212558325,4.76472888841446
17,19,24,4.626177777740662,23,1.0020716212558325,4.76472888841446
21,23,16,4.626177777740662,23,1.0020716212558325,4.76472888841446
16,24,20,4.626177777740662,23,1.0020716212558325,4.76472888841446
16,20,24,4.626177777740662,23,1.0020716212558325,4.76472888841446
19,24,17,4.626177777740662,23,1.0020716212558325,4.76472888841446
16,23,22,4.613639492698647,22,1.0020653537719912,4.543778298380707
16,22,23,4.613639492698647,22,1.0020653537719912,4.543778298380707
22,23,16,4.613639492698647,22,1.0020653537719912,4.543778298380707
17,19,21,4.607019299090153,22,1.00195601629924,4.303235858328111
17,18,22,4.607019299090153,22,1.00195601629924,4.303235858328111
17,20,20,4.607019299090153,22,1.00195601629924,4.303235858328111
19,21,17,4.607019299090153,22,1.00195601629924,4.303235858328111
17,21,19,4.607019299090153,22,1.00195601629924,4.303235858328111
17,22,18,4.607019299090153,22,1.00195601629924,4.303235858328111
18,21,18,4.607019299090153,22,1.00195601629924,4.303235858328111
18,22,17,4.607019299090153,22,1.00195601629924,4.303235858328111
19,21,19,4.598439330747878,23,1.002055774388989,4.728281094674845
18,20,21,4.598439330747878,23,1.002055774388989,4.728281094674845
20,21,18,4.598439330747878,23,1.002055774388989,4.728281094674845
18,21,20,4.598439330747878,23,1.002055774388989,4.728281094674845
19,20,20,4.598439330747878,23,1.002055774388989,4.728281094674845
18,22,19,4.588296309247059,24,1.001964563898592,4.714953356620349
18,19,22,4.588296309247059,24,1.001964563898592,4.714953356620349
19,22,18,4.588296309247059,24,1.001964563898592,4.714953356620349
17,20,24,4.573783326702948,22,1.002060373310801,4.53282128376201
17,24,20,4.573783326702948,22,1.002060373310801,4.53282128376201
20,24,17,4.573783326702948,22,1.002060373310801,4.53282128376201
15,24,21,4.57323135012456,24,1.0019304228183101,4.633014763944216
15,21,24,4.57323135012456,24,1.0019304228183101,4.633014763944216
21,24,15,4.57323135012456,24,1.0019304228183101,4.633014763944216
23,24,14,4.567190080351048,23,1.002010948572226,4.6251817161196795
20,23,16,4.530368179251355,24,1.0019072661752018,4.577438820483935
17,24,18,4.530368179251355,24,1.0019072661752018,4.577438820483935
16,24,19,4.530368179251355,24,1.0019072661752018,4.577438820483935
19,24,16,4.530368179251355,24,1.0019072661752018,4.577438820483935
16,23,20,4.530368179251355,24,1.0019072661752018,4.577438820483935
22,24,14,4.530368179251355,24,1.0019072661752018,4.577438820483935
18,24,17,4.530368179251355,24,1.0019072661752018,4.577438820483935
16,19,24,4.530368179251355,24,1.0019072661752018,4.577438820483935
18,19,21,4.530368179251355,24,1.0019072661752018,4.577438820483935
16,20,23,4.530368179251355,24,1.0019072661752018,4.577438820483935
17,18,24,4.530368179251355,24,1.0019072661752018,4.577438820483935
18,21,19,4.530368179251355,24,1.0019072661752018,4.577438820483935
19,21,18,4.530368179251355,24,1.0019072661752018,4.577438820483935
15,23,22,4.512701611820021,24,1.0019231763985943,4.615623356626257
22,23,15,4.512701611820021,24,1.0019231763985943,4.615623356626257
15,22,23,4.512701611820021,24,1.0019231763985943,4.615623356626257
22,24,12,4.503687146554619,22,1.0019062455330257,4.193740172656528
19,24,23,4.495879372680407,18,1.0019895775685383,3.581239623369177
23,24,19,4.495879372680407,18,1.0019895775685383,3.581239623369177
19,23,24,4.495879372680407,18,1.0019895775685383,3.581239623369177
15,23,21,4.476723984263238,24,1.0019007924580443,4.561901899306047
23,24,13,4.476723984263238,24,1.0019007924580443,4.561901899306047
17,19,22,4.476723984263238,24,1.0019007924580443,4.561901899306047
18,22,18,4.476723984263238,24,1.0019007924580443,4.561901899306047
15,20,24,4.476723984263238,24,1.0019007924580443,4.561901899306047
17,20,21,4.476723984263238,24,1.0019007924580443,4.561901899306047
15,24,20,4.476723984263238,24,1.0019007924580443,4.561901899306047
15,21,23,4.476723984263238,24,1.0019007924580443,4.561901899306047
17,22,19,4.476723984263238,24,1.0019007924580443,4.561901899306047
21,23,15,4.476723984263238,24,1.0019007924580443,4.561901899306047
17,21,20,4.476723984263238,24,1.0019007924580443,4.561901899306047
20,24,15,4.476723984263238,24,1.0019007924580443,4.561901899306047
19,22,17,4.476723984263238,24,1.0019007924580443,4.561901899306047
15,22,22,4.476723984263238,24,1.0019007924580443,4.561901899306047
20,21,17,4.476723984263238,24,1.0019007924580443,4.561901899306047
21,22,16,4.470405763331629,24,1.001900019755486,4.560047413165976
