buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
300,4,500,5,2,11.936624026357002,1.0,0.49107142857142855
300,4,500,6,2,11.949612252308272,1.0,0.49107142857142855
300,4,250,6,2,11.969422290461981,1.0,0.49107142857142855
300,4,250,4,2,11.98263401702002,1.0,0.49107142857142855
250,4,250,4,2,11.984055897945192,1.0,0.5
300,4,500,4,2,11.989948422815667,1.0,0.5
250,4,500,4,2,12.016170572588088,1.0,0.5
400,4,250,4,2,12.063229207447685,1.0,0.49107142857142855
400,4,500,4,2,12.087037535776023,1.0,0.49107142857142855
100,1,250,4,2,12.700408418604477,1.0,0.49122807017543857
100,1,500,4,2,12.706126391433095,1.0,0.5043478260869565
100,1,250,5,2,12.707214893675161,1.0,0.49122807017543857
100,1,500,5,2,12.709349807312462,1.0,0.5087719298245614
100,1,250,6,2,12.713630482439651,1.0,0.49122807017543857
100,1,500,6,2,12.71551342824737,1.0,0.5087719298245614
100,2,250,4,2,12.863622345073342,1.0,0.49557522123893805
100,2,250,6,2,12.88629927612795,1.0,0.504424778761062
100,2,500,4,2,12.890186423425178,1.0,0.49557522123893805
100,2,500,6,2,12.903289247975058,1.0,0.49557522123893805
100,2,250,5,2,12.90601216996755,1.0,0.504424778761062
100,2,500,5,2,12.912429169438198,1.0,0.49557522123893805
100,4,500,6,2,13.265214151718114,1.0,0.49107142857142855
100,4,250,6,2,13.26854224215158,1.0,0.48214285714285715
100,4,500,5,2,13.269717433224365,1.0,0.49107142857142855
100,4,500,4,2,13.272927785504086,1.0,0.49107142857142855
100,4,250,5,2,13.28375405226052,1.0,0.49107142857142855
100,4,250,4,2,13.285706425765603,1.0,0.48214285714285715
150,4,250,5,2,13.30978854291608,1.0,0.5892857142857143
150,4,500,5,2,13.338321409829371,1.0,0.6017699115044248
150,4,250,4,2,13.349813050453962,1.0,0.6071428571428571
150,4,500,4,2,13.356539201627605,1.0,0.6071428571428571
150,4,500,6,2,13.475879055014884,1.0,0.5892857142857143
150,4,250,6,2,13.55344876151615,1.0,0.5803571428571429
