buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
440,1,56.89707670979825,0.069874289574176,0.954225352112676,0.43859649122807015
470,1,56.89839676567876,0.07000348826599734,0.954225352112676,0.4473684210526316
450,1,57.014502170025345,0.07013387206024385,0.954225352112676,0.4298245614035088
430,1,57.01777516947942,0.0701228335373135,0.954225352112676,0.4298245614035088
490,1,57.03204981921628,0.07030645763454604,0.954225352112676,0.4649122807017544
460,1,57.09850414775894,0.07036605728971881,0.954225352112676,0.49122807017543857
400,1,57.111231787974695,0.07016567928989058,0.954225352112676,0.4298245614035088
380,1,57.13686170585409,0.06995621510634167,0.954225352112676,0.41228070175438597
480,1,57.1734900095937,0.07073697072670064,0.954225352112676,0.4298245614035088
410,1,57.18130972038848,0.0704460948573095,0.954225352112676,0.4298245614035088
420,1,57.22535482363203,0.0708285428879328,0.954225352112676,0.42105263157894735
310,1,57.23248290675929,0.06954983474967733,0.954225352112676,0.49122807017543857
320,1,57.29647381882489,0.06999121928533121,0.954225352112676,0.5
390,1,57.3811159539535,0.0709583472478638,0.954225352112676,0.42105263157894735
370,1,57.391849036456,0.07049947798215159,0.954225352112676,0.4473684210526316
290,1,57.42962961723146,0.06995623772042589,0.954225352112676,0.49122807017543857
350,1,57.46668078950809,0.07073485953649246,0.954225352112676,0.43859649122807015
300,1,57.58760042673032,0.0704422478837409,0.954225352112676,0.41228070175438597
360,1,57.59398687548901,0.07138777151268559,0.954225352112676,0.4298245614035088
230,1,57.649264135247726,0.06932078520480654,0.954225352112676,0.5877192982456141
240,1,57.665075854404705,0.06998077558165727,0.954225352112676,0.543859649122807
340,1,57.768687657044765,0.07130740693885372,0.954225352112676,0.4298245614035088
260,1,57.81359866000204,0.07067543197469522,0.954225352112676,0.4824561403508772
280,1,57.876385227555666,0.07054778774415568,0.954225352112676,0.5350877192982456
270,1,57.98805448500433,0.07095442454644077,0.954225352112676,0.5087719298245614
250,1,58.10339143685829,0.07113088720717736,0.954225352112676,0.49122807017543857
330,1,58.17761484676626,0.07275216719896785,0.954225352112676,0.41228070175438597
470,2,58.231778925293284,0.07223078375045225,0.9504424778761061,0.4424778761061947
450,2,58.242392495302234,0.07189059966063363,0.9504424778761061,0.45132743362831856
440,2,58.319661342904546,0.0721829744930366,0.9504424778761061,0.45132743362831856
480,2,58.33383106090993,0.07253833027911351,0.9539823008849557,0.46017699115044247
220,1,58.45388692785207,0.07058817924289097,0.954225352112676,0.5614035087719298
490,2,58.468953169811485,0.0727485494362668,0.9504424778761061,0.4424778761061947
420,2,58.48129045879307,0.07256996584686941,0.9504424778761061,0.48672566371681414
430,2,58.50892450607064,0.07257132932014458,0.9504424778761061,0.504424778761062
400,2,58.58082233752077,0.07234088813659537,0.9504424778761061,0.5132743362831859
460,2,58.59789136719251,0.0728153894726933,0.9504424778761061,0.48672566371681414
390,2,58.67254903415003,0.07271829599209634,0.9504424778761061,0.4690265486725664
410,2,58.70351605863289,0.07282801446280493,0.9504424778761061,0.46017699115044247
210,1,58.77005027776058,0.07121767043086248,0.954225352112676,0.5789473684210527
300,2,58.96151883732063,0.07256933540238013,0.9504424778761061,0.45132743362831856
380,2,59.04659546608249,0.07272546528513801,0.9504424778761061,0.49557522123893805
290,2,59.12611686860122,0.0725922847154879,0.9504424778761061,0.48672566371681414
240,2,59.13089975218331,0.07219711144659487,0.9504424778761061,0.5309734513274337
310,2,59.1392253816463,0.07265656049750903,0.9504424778761061,0.504424778761062
480,4,59.230285233665114,0.07297185224248849,0.9499105545617174,0.49107142857142855
320,2,59.24616212274691,0.07322709545995075,0.9504424778761061,0.45132743362831856
470,4,59.26386251793575,0.07302427595890656,0.9499105545617174,0.49107142857142855
360,2,59.31017089299096,0.07387829094202428,0.9504424778761061,0.45132743362831856
480,5,59.331471455241946,0.07300051703103234,0.9496402877697842,0.49107142857142855
260,2,59.359697102960915,0.0732834238030239,0.9504424778761061,0.4778761061946903
450,4,59.36564307533327,0.07272016129796977,0.9481216457960644,0.5
370,2,59.371549770400655,0.07337211936707347,0.9504424778761061,0.49557522123893805
270,2,59.39514212191223,0.07328142876256907,0.9504424778761061,0.5309734513274337
490,4,59.40060319272728,0.07330571935884835,0.9481216457960644,0.4732142857142857
440,4,59.453317678778106,0.07304787510095744,0.9499105545617174,0.4732142857142857
470,5,59.45749359707105,0.07319719444375665,0.9496402877697842,0.48214285714285715
470,3,59.464162940136255,0.07341037645945832,0.9501779359430605,0.415929203539823
490,3,59.46600210208849,0.07363039234006388,0.9483985765124555,0.4690265486725664
450,5,59.495097018044824,0.07284432289255288,0.947841726618705,0.49107142857142855
490,5,59.52032522158667,0.07335072941374172,0.947841726618705,0.48214285714285715
350,2,59.53914623771127,0.07373077151826725,0.9504424778761061,0.45132743362831856
480,6,59.554803431310695,0.0734507062920799,0.9493670886075949,0.4954954954954955
230,2,59.56061982845887,0.07308086142922132,0.9504424778761061,0.5221238938053098
190,1,59.60545530327653,0.07286161146279001,0.954225352112676,0.5789473684210527
200,1,59.60707187044034,0.07189005285188985,0.954225352112676,0.5614035087719298
480,7,59.65235853332531,0.07415825471158988,0.9490909090909091,0.4727272727272727
330,2,59.658309588113234,0.07505352725456743,0.9504424778761061,0.4424778761061947
460,4,59.658321033400725,0.07345131314553237,0.9481216457960644,0.5
340,2,59.67408557318996,0.0742381085001349,0.9504424778761061,0.4778761061946903
250,2,59.68554903797164,0.07350104996489082,0.9504424778761061,0.5132743362831859
440,5,59.689848345884194,0.07328646041006769,0.9496402877697842,0.44642857142857145
280,2,59.69684228122089,0.07339137787781605,0.9504424778761061,0.504424778761062
450,6,59.69799469894179,0.07325447824326094,0.9475587703435805,0.4864864864864865
460,3,59.72024538637823,0.07384508060792454,0.9483985765124555,0.49557522123893805
440,3,59.725934647605584,0.07359207892631443,0.9501779359430605,0.4247787610619469
430,4,59.7263202716653,0.07322271042473294,0.9481216457960644,0.5357142857142857
480,3,59.733672277803876,0.0739143092003106,0.9483985765124555,0.48672566371681414
420,4,59.73384713408606,0.07365139145424787,0.9481216457960644,0.48214285714285715
470,6,59.73416480809535,0.07366959384717861,0.9493670886075949,0.46846846846846846
430,3,59.76089456441843,0.07359946585697003,0.9483985765124555,0.504424778761062
460,5,59.80077454774133,0.07367772429596506,0.947841726618705,0.5178571428571429
180,1,59.804861247996236,0.07343452701815419,0.954225352112676,0.5526315789473685
450,7,59.80834087793526,0.07397767571146924,0.9472727272727273,0.45454545454545453
