buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
250,16,0.0005,4,17.544254049977212,0.9983164983164983,0.575
250,8,0.0005,4,17.549410511279433,0.9983164983164983,0.5785123966942148
200,32,0.0001,4,17.55380683858172,0.9983164983164983,0.5714285714285714
200,8,0.0001,4,17.554289344826994,0.9983164983164983,0.5785123966942148
200,16,0.0001,4,17.55446359411984,0.9983164983164983,0.5966386554621849
250,32,0.0001,4,17.55606121029825,0.9983164983164983,0.5714285714285714
200,16,0.0005,2,17.55632325783053,0.9983164983164983,0.5714285714285714
200,8,0.0005,4,17.55767699410782,0.9983164983164983,0.5714285714285714
350,32,0.0001,4,17.558529229429155,0.9983164983164983,0.576
200,32,0.0001,2,17.558784034756645,0.9983164983164983,0.575
200,8,0.0005,2,17.55968446137728,0.9983164983164983,0.575
250,16,0.0005,2,17.56040304521339,0.9983164983164983,0.575
200,16,0.0005,4,17.563054577011066,0.9983164983164983,0.575
250,8,0.0005,2,17.567228376539227,0.9983164983164983,0.5806451612903226
400,16,0.0001,2,17.569192612776757,0.9983164983164983,0.5714285714285714
250,32,0.0001,2,17.57024853669197,0.9983164983164983,0.5714285714285714
250,16,0.0001,4,17.571904268310966,0.9983164983164983,0.5714285714285714
250,8,0.0001,4,17.57255475332647,0.9983164983164983,0.575
400,32,0.0001,2,17.573257682072306,0.9983164983164983,0.575
300,16,0.0005,4,17.573265797619932,0.9983164983164983,0.5714285714285714
400,8,0.0001,2,17.57502813711892,0.9983164983164983,0.575
450,16,0.0001,2,17.575430577333968,0.9983164983164983,0.575
400,32,0.0001,4,17.5757016320609,0.9983164983164983,0.625
450,8,0.0001,2,17.576290506954717,0.9983164983164983,0.5806451612903226
150,16,0.0001,4,17.579817874001606,0.9983164983164983,0.575
450,32,0.0001,2,17.579958275720923,0.9983164983164983,0.5819672131147541
400,8,0.0005,2,17.58043072204024,0.9983164983164983,0.5630252100840336
150,8,0.0001,4,17.581022608522414,0.9983164983164983,0.5785123966942148
300,8,0.0005,4,17.58213528382447,0.9983164983164983,0.575
350,8,0.0005,2,17.58224958897967,0.9983164983164983,0.6048387096774194
350,16,0.0001,4,17.58254908601503,0.9983164983164983,0.5714285714285714
350,8,0.0001,4,17.58280682412397,0.9983164983164983,0.568
400,8,0.0001,4,17.583122246033692,0.9983164983164983,0.5714285714285714
300,32,0.0001,4,17.58319198294902,0.9983164983164983,0.575
300,16,0.0005,2,17.583296446894902,0.9983164983164983,0.5714285714285714
150,32,0.0001,4,17.587094697794562,0.9983164983164983,0.6475409836065574
350,16,0.0005,2,17.587387607878743,0.9983164983164983,0.55
400,16,0.0001,4,17.587766858364585,0.9983164983164983,0.5714285714285714
300,16,0.0001,4,17.587851911666654,0.9983164983164983,0.575
350,32,0.0001,2,17.587916128302062,0.9983164983164983,0.5714285714285714
150,8,0.0005,4,17.588583515986034,0.9983164983164983,0.6475409836065574
300,8,0.0001,4,17.58918035298092,0.9983164983164983,0.5714285714285714
150,16,0.0005,4,17.590023008825856,0.9983164983164983,0.5546218487394958
300,8,0.0005,2,17.590268432921803,0.9983164983164983,0.575
150,8,0.0005,2,17.590824085843334,0.9983164983164983,0.6614173228346457
150,32,0.0001,2,17.591472261231534,0.9983164983164983,0.6048387096774194
450,8,0.0001,4,17.592928809556565,0.9983164983164983,0.6311475409836066
150,16,0.0005,2,17.592963934735987,0.9983164983164983,0.6585365853658537
350,8,0.0001,2,17.59342604132779,0.9983164983164983,0.55
300,32,0.0001,2,17.593674465265977,0.9983164983164983,0.5714285714285714
450,16,0.0001,4,17.59472736286884,0.9983164983164983,0.6111111111111112
350,8,0.0005,4,17.594919842914457,0.9983164983164983,0.5681818181818182
400,16,0.0005,2,17.60402080411978,0.9983164983164983,0.5666666666666667
350,16,0.0005,4,17.622390736286174,0.9983164983164983,0.5691056910569106
450,8,0.0005,2,17.640477786877184,0.9983164983164983,0.5806451612903226
200,32,0.0005,4,17.642471758396027,0.9983164983164983,0.5365853658536586
150,32,0.0005,4,17.654132559562328,0.9983164983164983,0.5546218487394958
100,16,0.0001,4,17.678929047086452,0.9983164983164983,0.5462184873949579
100,8,0.0001,4,17.680647594389583,0.9983164983164983,0.5179856115107914
200,32,0.0005,2,17.683017917698553,0.9983164983164983,0.5409836065573771
400,8,0.0005,4,17.685878604181667,0.9983164983164983,0.5327868852459017
100,16,0.0005,2,17.68991841689971,0.9983164983164983,0.5378151260504201
100,32,0.0001,4,17.690122294459435,0.9983164983164983,0.5409836065573771
100,8,0.0005,4,17.692319618584335,0.9983164983164983,0.5035460992907801
100,8,0.0005,2,17.69572058273025,0.9983164983164983,0.5503875968992248
400,32,0.0005,2,17.69775166993874,0.9983164983164983,0.5284552845528455
100,16,0.0005,4,17.703518247883288,0.9983164983164983,0.5447154471544715
150,32,0.0005,2,17.70390603995624,0.9983164983164983,0.5433070866141733
100,32,0.0001,2,17.710243401160582,0.9983164983164983,0.5882352941176471
100,32,0.0005,4,17.736100042845205,0.9983164983164983,0.5546875
450,16,0.0005,2,17.738189686256312,0.9983164983164983,0.5
100,32,0.0005,2,17.783569471061845,0.9983164983164983,0.5555555555555556
250,32,0.0005,2,17.990229937021034,0.9983164983164983,0.5
450,32,0.0005,2,18.10015796617969,0.9983164983164983,0.6218487394957983
300,32,0.0005,2,18.211133820104525,0.9983164983164983,0.48739495798319327
400,16,0.0005,4,18.21330618897757,0.9983164983164983,0.5080645161290323
350,32,0.0005,2,18.22681956749334,0.9983164983164983,0.47107438016528924
450,32,0.0001,4,18.61042661674081,0.9983164983164983,0.48739495798319327
450,8,0.0005,4,18.635713231425363,0.9983164983164983,0.48739495798319327
450,16,0.0005,4,18.732010605180843,0.9983164983164983,0.48739495798319327
350,32,0.0005,4,18.873234721482945,0.9983164983164983,0.5416666666666666
250,32,0.0005,4,18.998433732330682,0.9983164983164983,0.48739495798319327
300,32,0.0005,4,19.401582943470544,0.9983164983164983,0.4621212121212121
400,32,0.0005,4,19.43029041319108,0.9983164983164983,0.6386554621848739
350,16,0.0001,2,21.106427738363706,0.9983164983164983,0.55
