buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
100,1,500,4,2,68.49416565085754,0.8506787330316742,0.4
100,1,250,4,2,68.52475048478675,0.8506787330316742,0.4
250,1,500,4,2,68.88103767161084,0.8416289592760181,0.4222222222222222
400,1,500,4,2,68.9958597108178,0.8416289592760181,0.4222222222222222
400,1,250,4,2,69.08063527609386,0.8416289592760181,0.4222222222222222
250,1,250,4,2,69.18403185471722,0.8416289592760181,0.4
250,1,500,5,2,69.37219767454437,0.8416289592760181,0.4
400,1,250,5,2,69.4979269219229,0.8416289592760181,0.4222222222222222
100,1,500,5,2,69.50132740627139,0.8416289592760181,0.4222222222222222
100,1,500,6,2,69.54925766332899,0.8416289592760181,0.4222222222222222
100,1,250,5,2,69.61758289657489,0.8461538461538461,0.4444444444444444
400,1,500,5,2,69.63210410572643,0.8416289592760181,0.4222222222222222
100,1,250,6,2,69.64195397031855,0.8461538461538461,0.4444444444444444
250,1,250,5,2,69.81986157724037,0.8371040723981901,0.4
250,1,500,6,2,69.98066079452111,0.8371040723981901,0.4
400,1,250,6,2,70.02398230590987,0.8416289592760181,0.4222222222222222
400,1,500,6,2,70.17800388594833,0.8416289592760181,0.4222222222222222
250,1,250,6,2,70.37940801701225,0.8371040723981901,0.4222222222222222
100,2,500,4,2,71.71411977685307,0.8348623853211009,0.38636363636363635
100,2,250,4,2,71.81282404571176,0.8348623853211009,0.38636363636363635
100,2,500,5,2,72.18299217229519,0.8348623853211009,0.38636363636363635
250,2,500,4,2,72.18950954949115,0.8256880733944955,0.38636363636363635
100,2,250,5,2,72.28719572432243,0.8394495412844036,0.38636363636363635
100,2,500,6,2,72.35736874125755,0.8348623853211009,0.38636363636363635
400,2,250,4,2,72.35843984842124,0.8256880733944955,0.38636363636363635
250,2,500,5,2,72.41009341437166,0.8211009174311926,0.38636363636363635
400,2,500,4,2,72.41041309713064,0.8211009174311926,0.38636363636363635
250,2,500,6,2,72.49757956503002,0.8211009174311926,0.4090909090909091
