buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
250,16,0.0001,4,11.247152955721424,1.0,0.7631578947368421
250,8,0.0001,4,11.253255322169444,1.0,0.7631578947368421
250,32,0.0001,4,11.25944642400437,1.0,0.6578947368421053
250,8,0.0005,4,11.274928051048551,1.0,0.6578947368421053
450,16,0.0005,4,11.276118603501958,1.0,0.631578947368421
250,16,0.0005,4,11.2784631770699,1.0,0.631578947368421
250,32,0.0001,2,11.28262488610608,1.0,0.631578947368421
300,16,0.0005,4,11.287539999446288,1.0,0.631578947368421
250,16,0.0005,2,11.291162819559204,1.0,0.631578947368421
400,16,0.0005,4,11.29216951453665,1.0,0.6052631578947368
250,8,0.0005,2,11.294263790735783,1.0,0.631578947368421
300,8,0.0005,4,11.29492889339832,1.0,0.631578947368421
400,8,0.0005,4,11.301787061214382,1.0,0.5789473684210527
450,8,0.0005,4,11.301945254289024,1.0,0.6410256410256411
400,32,0.0001,4,11.304875148579217,1.0,0.5526315789473685
300,32,0.0001,2,11.305167830458332,1.0,0.5897435897435898
300,32,0.0001,4,11.306046780418967,1.0,0.631578947368421
300,16,0.0001,4,11.308226978320675,1.0,0.6578947368421053
350,16,0.0005,4,11.308317732816667,1.0,0.6052631578947368
400,32,0.0001,2,11.310873782009251,1.0,0.5526315789473685
300,8,0.0001,4,11.311624474363157,1.0,0.5526315789473685
450,32,0.0001,4,11.312030868428458,1.0,0.5526315789473685
400,8,0.0005,2,11.312289119007062,1.0,0.6052631578947368
400,16,0.0005,2,11.31316631947097,1.0,0.6153846153846154
400,16,0.0001,4,11.314891257523065,1.0,0.5641025641025641
400,8,0.0001,2,11.316373134216041,1.0,0.5526315789473685
400,16,0.0001,2,11.316739587929877,1.0,0.5526315789473685
400,8,0.0001,4,11.318043563013543,1.0,0.5641025641025641
350,32,0.0001,4,11.31885453933657,1.0,0.5526315789473685
350,8,0.0005,4,11.320053172109569,1.0,0.6585365853658537
450,8,0.0005,2,11.320464875195182,1.0,0.47368421052631576
300,8,0.0005,2,11.32069722142407,1.0,0.48717948717948717
450,16,0.0005,2,11.322477341617322,1.0,0.5641025641025641
450,32,0.0001,2,11.325033428652025,1.0,0.4358974358974359
300,16,0.0005,2,11.32537355111994,1.0,0.47368421052631576
350,8,0.0005,2,11.327464273215984,1.0,0.6153846153846154
450,16,0.0001,4,11.32803366354382,1.0,0.5526315789473685
350,16,0.0005,2,11.329939278018784,1.0,0.5
350,32,0.0001,2,11.330769935576287,1.0,0.47368421052631576
450,8,0.0001,4,11.332165217106438,1.0,0.5263157894736842
450,16,0.0001,2,11.337708706347668,1.0,0.5263157894736842
450,8,0.0001,2,11.3418499479334,1.0,0.5384615384615384
300,32,0.0005,4,11.362459916462827,1.0,0.42105263157894735
350,16,0.0001,4,11.362928047592588,1.0,0.5384615384615384
350,8,0.0001,4,11.366508433501302,1.0,0.5263157894736842
350,8,0.0001,2,11.384318763535473,1.0,0.5
250,32,0.0005,4,11.414020719657193,1.0,0.5
200,16,0.0001,4,11.430455551673075,1.0,0.42105263157894735
200,32,0.0001,2,11.441283771363524,1.0,0.42105263157894735
200,8,0.0001,4,11.444107708611623,1.0,0.42105263157894735
200,32,0.0001,4,11.4499361737434,1.0,0.42105263157894735
200,8,0.0005,4,11.452598581707969,1.0,0.42105263157894735
200,16,0.0005,4,11.461852876483686,1.0,0.42105263157894735
200,8,0.0005,2,11.471996244468377,1.0,0.42105263157894735
200,16,0.0005,2,11.505189988771313,1.0,0.42105263157894735
200,32,0.0005,4,11.60466306659076,1.0,0.5263157894736842
250,32,0.0005,2,11.639325328020961,1.0,0.5263157894736842
300,32,0.0005,2,11.671970511244048,1.0,0.42105263157894735
200,32,0.0005,2,11.724179910886269,1.0,0.5789473684210527
150,16,0.0001,4,11.898945036616503,1.0,0.5526315789473685
150,16,0.0005,4,11.900184506884353,1.0,0.5526315789473685
150,8,0.0005,4,11.900208830085525,1.0,0.575
150,32,0.0001,4,11.902900605736331,1.0,0.5526315789473685
150,32,0.0001,2,11.905864465224084,1.0,0.5897435897435898
150,8,0.0001,4,11.90993638489321,1.0,0.5526315789473685
150,8,0.0005,2,11.917393018740167,1.0,0.5526315789473685
150,16,0.0005,2,11.924807222442766,1.0,0.5263157894736842
150,32,0.0005,2,11.950994404074335,1.0,0.6136363636363636
150,32,0.0005,4,11.956129073956772,1.0,0.5789473684210527
100,32,0.0001,2,12.009686974349837,1.0,0.42105263157894735
100,16,0.0001,4,12.055281467585315,1.0,0.525
100,16,0.0005,2,12.057156632610923,1.0,0.5
100,8,0.0005,2,12.058151441495626,1.0,0.525
