window,profit,numero_operaciones,return_factor,ganancia_total
16,4.049065027959544,22,1.0015822605243916,3.480973153661545
15,3.6167701424683862,22,1.0014678770073913,3.2293294162611033
18,3.512540867089522,16,1.0016860243918553,2.697639026968467
17,3.458542742398718,17,1.0017080993290435,2.903768859373968
14,3.2040713408362635,26,1.001506379907479,3.916587759445711
13,3.1256708570447116,29,1.0013381253896072,3.88056362986094
12,2.8169563820087498,32,1.0012542086584637,4.013467707083992
11,2.4226909722778185,34,1.0009204468126207,3.1295191629106855
10,2.1588659456148687,37,1.0008075703587085,2.988010327221011
9,2.0579694642784356,41,1.0007240378899134,2.968555348645507
