long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
22,21,18,2.3602651197772384,53,1.0008266407106325,4.381195766352187
37,16,15,2.359404520272873,53,1.000821194004743,4.35232822513748
35,14,18,2.359404520272873,53,1.000821194004743,4.35232822513748
37,15,16,2.359404520272873,53,1.000821194004743,4.35232822513748
35,18,14,2.359404520272873,53,1.000821194004743,4.35232822513748
25,20,17,2.3591457106093974,53,1.0008111036118101,4.298849142593595
25,17,20,2.3591457106093974,53,1.0008111036118101,4.298849142593595
33,22,12,2.358981645064906,53,1.0008210857156483,4.351754292935528
33,12,22,2.358981645064906,53,1.0008210857156483,4.351754292935528
25,16,21,2.3584838203347362,53,1.0008236629344485,4.365413552576438
25,21,16,2.3584838203347362,53,1.0008236629344485,4.365413552576438
38,19,12,2.35585751735275,54,1.000807718179733,4.3616781705589425
38,12,19,2.35585751735275,54,1.000807718179733,4.3616781705589425
34,21,12,2.3552362806424716,53,1.0008215378106302,4.354150396339492
34,12,21,2.3552362806424716,53,1.0008215378106302,4.354150396339492
42,11,20,2.354565085957323,54,1.0007898574003655,4.265229961974149
42,20,11,2.354565085957323,54,1.0007898574003655,4.265229961974149
42,13,16,2.3537512757287744,54,1.0008224154906,4.4410436492403225
42,16,13,2.3537512757287744,54,1.0008224154906,4.4410436492403225
23,16,23,2.35356156547674,53,1.000807771135939,4.281187020476548
24,22,16,2.35356156547674,53,1.000807771135939,4.281187020476548
24,16,22,2.35356156547674,53,1.000807771135939,4.281187020476548
22,16,24,2.35356156547674,53,1.000807771135939,4.281187020476548
37,20,12,2.3508518588470944,54,1.000805690694041,4.350729747821869
37,12,20,2.3508518588470944,54,1.000805690694041,4.350729747821869
25,19,18,2.3504562231009833,53,1.0008059179465443,4.271365116684132
25,18,19,2.3504562231009833,53,1.0008059179465443,4.271365116684132
23,19,19,2.350410820921181,53,1.0008240928528709,4.367692120215799
24,18,19,2.350204315878523,54,1.0008158890213583,4.405800715334977
23,21,17,2.350204315878523,54,1.0008158890213583,4.405800715334977
19,18,24,2.350204315878523,54,1.0008158890213583,4.405800715334977
24,19,18,2.350204315878523,54,1.0008158890213583,4.405800715334977
21,17,23,2.350204315878523,54,1.0008158890213583,4.405800715334977
23,17,21,2.350204315878523,54,1.0008158890213583,4.405800715334977
39,15,14,2.348830602946212,55,1.0008091224683018,4.450173575660454
39,14,15,2.348830602946212,55,1.0008091224683018,4.450173575660454
42,13,17,2.348788792450868,54,1.000798362736481,4.311158776997368
42,17,13,2.348788792450868,54,1.000798362736481,4.311158776997368
22,24,24,2.3481202643888093,51,1.0007976472354776,4.068000900935542
16,13,19,2.3480335651623996,71,1.0007030874822302,4.991921123834628
19,13,16,2.3480335651623996,71,1.0007030874822302,4.991921123834628
19,16,13,2.3480335651623996,71,1.0007030874822302,4.991921123834628
44,14,15,2.3448776641888682,54,1.0008045371306473,4.344500505495175
44,15,14,2.3448776641888682,54,1.0008045371306473,4.344500505495175
37,13,18,2.343752316506259,54,1.0008105327001726,4.376876580932183
37,18,13,2.343752316506259,54,1.0008105327001726,4.376876580932183
41,13,17,2.341990385527625,54,1.0008028098933295,4.335173423978922
41,17,13,2.341990385527625,54,1.0008028098933295,4.335173423978922
28,21,13,2.341778541256429,55,1.0008036282420687,4.419955331377018
28,13,21,2.341778541256429,55,1.0008036282420687,4.419955331377018
36,14,17,2.3408038356830048,54,1.000815238368531,4.402287190066944
36,17,14,2.3408038356830048,54,1.000815238368531,4.402287190066944
