window,profit,numero_operaciones,return_factor,ganancia_total
12,2.568742943173906,9,1.0016112327399929,1.4501094659934337
13,2.509337828873392,8,1.001763878928263,1.4111031426103384
11,2.296324889636279,9,1.00133143617502,1.198292557518183
10,1.970154699615305,13,1.0010102906302216,1.3133778192879988
9,1.9348732831100497,15,1.0008585541706738,1.2878312560104992
16,0.9612993996955169,5,0.9999021472677488,-0.048926366125538454
14,0.9190536301036754,5,0.9997953307339461,-0.10233463302692135
15,0.9190536301036754,5,0.9997953307339461,-0.10233463302692135
17,0.6201629661809629,4,0.9987994988683343,-0.48020045266625755
18,0.42678883642077997,3,0.9975844354664722,-0.7246693600583243
