buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
260,2,11.235989462826536,0.11487852566984293,1.0,0.5135135135135135
250,1,11.247992946509585,0.11589824742428015,1.0,0.5263157894736842
300,2,11.255091733071385,0.11500826371847285,1.0,0.6216216216216216
290,2,11.258662836306364,0.11437778340450383,1.0,0.6486486486486487
250,2,11.282446507269858,0.11589034129142753,1.0,0.5675675675675675
330,2,11.296452175863372,0.11551637031945411,1.0,0.5945945945945946
280,1,11.297191310591323,0.11562081653419003,1.0,0.5
200,1,11.301450539069958,0.11527785609860403,1.0,0.5263157894736842
360,2,11.305214778110425,0.11546995438802607,1.0,0.5405405405405406
310,1,11.308403801912288,0.1152736681840627,1.0,0.5526315789473685
280,3,11.308822742241649,0.11458452875686531,1.0,0.6111111111111112
190,1,11.309700167696285,0.11531259421920109,1.0,0.5
260,3,11.309838403517434,0.11566326761864316,1.0,0.5
290,3,11.310080610482286,0.11499800885788206,1.0,0.6111111111111112
280,2,11.31222673098642,0.11550201706365952,1.0,0.5945945945945946
270,2,11.312300534858739,0.11715393987445943,1.0,0.5135135135135135
250,3,11.317285855756182,0.11530188983709143,1.0,0.5
290,1,11.328296564702947,0.1157256711990991,1.0,0.5263157894736842
310,2,11.338952063820978,0.1153668266469442,1.0,0.5405405405405406
230,2,11.342072322000096,0.11645290997691457,1.0,0.5135135135135135
310,3,11.343776267190842,0.11469731364945679,1.0,0.5833333333333334
420,2,11.344486271403994,0.11645489723415964,1.0,0.5405405405405406
230,1,11.345118769994928,0.11727599778281068,1.0,0.47368421052631576
390,2,11.34788046254856,0.11626271534904542,1.0,0.5405405405405406
260,1,11.348231593318639,0.11657828435924415,1.0,0.47368421052631576
220,1,11.348706231691574,0.11771447078165276,1.0,0.5263157894736842
350,2,11.367804962373945,0.11582840849479041,1.0,0.5945945945945946
350,3,11.371352624911365,0.11575612207399956,1.0,0.6111111111111112
340,3,11.371584908671341,0.11432774005601047,1.0,0.6944444444444444
320,2,11.381554230644058,0.1161651479178475,1.0,0.5675675675675675
340,2,11.387268968321623,0.11556305351243426,1.0,0.5675675675675675
320,1,11.39005820524199,0.1169244158317285,1.0,0.5263157894736842
410,2,11.3961773142103,0.11652610747455334,1.0,0.5405405405405406
300,1,11.39748583870987,0.11730083729390177,1.0,0.5526315789473685
400,2,11.402521274816841,0.11658642651717915,1.0,0.5135135135135135
190,2,11.408389111024492,0.11557888333354052,1.0,0.5405405405405406
430,2,11.409485981404464,0.11677762374985236,1.0,0.5135135135135135
190,5,11.410632515760666,0.11645488123209442,1.0,0.6285714285714286
340,1,11.413047977120721,0.11626950871660285,1.0,0.5263157894736842
190,4,11.414354280025591,0.11680463317779984,1.0,0.5833333333333334
270,1,11.419717830960137,0.11915618157925711,1.0,0.47368421052631576
370,2,11.422872488280996,0.11699741145381802,1.0,0.5135135135135135
430,3,11.422924908731614,0.11609620183154482,1.0,0.5277777777777778
380,2,11.423581203760746,0.11702910568310602,1.0,0.5675675675675675
410,1,11.433262600775478,0.11771216662143238,1.0,0.5263157894736842
240,2,11.4342724192897,0.12094813033201252,1.0,0.4864864864864865
350,1,11.435839819320988,0.11737171918071261,1.0,0.5526315789473685
330,1,11.437706093703913,0.11771025019560774,1.0,0.5789473684210527
400,3,11.438377287806928,0.1161997751688481,1.0,0.5833333333333334
380,1,11.444175277206108,0.11790732314430402,1.0,0.5263157894736842
180,1,11.447840766084505,0.11581912083913663,1.0,0.47368421052631576
440,2,11.44923336373961,0.1174119492474921,1.0,0.5135135135135135
410,3,11.4517056162907,0.11689842338736071,1.0,0.5555555555555556
210,1,11.454250698660756,0.12136973241560073,1.0,0.5789473684210527
390,1,11.45467574020589,0.11812938536828582,1.0,0.47368421052631576
400,1,11.45605007349402,0.11775577723484054,1.0,0.47368421052631576
360,1,11.456417988455458,0.11781661213382391,1.0,0.6052631578947368
370,3,11.457462372500235,0.11636346340019735,1.0,0.5277777777777778
220,2,11.460258589552568,0.11861453660800217,1.0,0.6486486486486487
370,1,11.460569592972488,0.11789601314420745,1.0,0.47368421052631576
200,2,11.46170990042597,0.11626065417431324,1.0,0.5135135135135135
320,3,11.462646070956236,0.11706836867931958,1.0,0.5833333333333334
430,1,11.463022010432002,0.1183226594998307,1.0,0.47368421052631576
420,1,11.466555180094428,0.1186146185195043,1.0,0.47368421052631576
380,3,11.466940251840123,0.11719285699295513,1.0,0.5277777777777778
290,4,11.470001328436126,0.1155774471450158,1.0,0.5
440,1,11.477677853083987,0.11851215027891178,1.0,0.5789473684210527
230,3,11.482632375415108,0.11795631469855455,1.0,0.5277777777777778
240,1,11.485765936512516,0.12230633257139208,1.0,0.47368421052631576
170,1,11.490103869614009,0.11617411040263576,1.0,0.47368421052631576
260,4,11.50433352748775,0.11661112909708386,1.0,0.4444444444444444
200,3,11.504573014226978,0.11690474033703963,1.0,0.5555555555555556
190,3,11.507389853978035,0.11658163732925682,1.0,0.5277777777777778
360,3,11.513085248746334,0.1177317142698313,1.0,0.5555555555555556
300,3,11.51547195169808,0.11801428176298794,1.0,0.6111111111111112
210,2,11.515665463479666,0.12124558442031647,1.0,0.5945945945945946
220,3,11.521117658546583,0.11800725080956445,1.0,0.6111111111111112
