buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
300,8,0.0001,2,29.80489888835194,1.0,0.46956521739130436
300,16,0.0001,2,105.99812441942379,0.920774647887324,0.5043478260869565
250,8,0.0001,2,221.77793547277156,0.920774647887324,0.43859649122807015
250,16,0.0001,2,485.39514523693515,0.920774647887324,0.43859649122807015
200,8,0.0001,2,651.1167840633725,0.920774647887324,0.48695652173913045
200,16,0.0001,2,1066.0691103704014,0.920774647887324,0.5087719298245614
150,8,0.0001,2,1180.0955972544343,0.920774647887324,0.5175438596491229
150,16,0.0001,2,1622.0989220846282,0.8362676056338029,0.5263157894736842
100,8,0.0001,2,1705.2922212358358,0.8362676056338029,0.5087719298245614
100,16,0.0001,2,2172.865108057978,0.7517605633802817,0.5087719298245614
