<DATE>	<TIME>	<CLOSE>
2025.04.01	19:45:00	41956.46875
2025.04.01	19:50:00	41973.76953125
2025.04.01	19:55:00	41988.51171875
2025.04.02	13:30:00	41781.0
2025.04.02	13:35:00	41840.76953125
2025.04.02	13:40:00	41852.83984375
2025.04.02	13:45:00	41867.1484375
2025.04.02	13:50:00	41798.62890625
2025.04.02	13:55:00	41815.5703125
2025.04.02	14:00:00	41909.08984375
2025.04.02	14:05:00	41871.76171875
2025.04.02	14:10:00	41877.1484375
2025.04.02	14:15:00	41960.30078125
2025.04.02	14:20:00	41972.73046875
2025.04.02	14:25:00	42006.48828125
2025.04.02	14:30:00	42027.98046875
2025.04.02	14:35:00	42011.3203125
2025.04.02	14:40:00	42002.01171875
2025.04.02	14:45:00	42018.08984375
2025.04.02	14:50:00	42032.8515625
2025.04.02	14:55:00	42079.7890625
2025.04.02	15:00:00	42082.0
2025.04.02	15:05:00	42077.6796875
2025.04.02	15:10:00	42031.87109375
2025.04.02	15:15:00	42039.390625
2025.04.02	15:20:00	42112.66015625
2025.04.02	15:25:00	42151.46875
2025.04.02	15:30:00	42168.7109375
2025.04.02	15:35:00	42133.2890625
2025.04.02	15:40:00	42070.62890625
2025.04.02	15:45:00	42024.41015625
2025.04.02	15:50:00	42031.58984375
2025.04.02	15:55:00	42052.3515625
2025.04.02	16:00:00	42050.19921875
2025.04.02	16:05:00	42071.171875
2025.04.02	16:10:00	42134.6015625
2025.04.02	16:15:00	42127.359375
2025.04.02	16:20:00	42136.3984375
2025.04.02	16:25:00	42145.16015625
2025.04.02	16:30:00	42155.9609375
2025.04.02	16:35:00	42125.890625
2025.04.02	16:40:00	42168.69921875
2025.04.02	16:45:00	42249.73046875
2025.04.02	16:50:00	42259.96875
2025.04.02	16:55:00	42267.41015625
2025.04.02	17:00:00	42295.80078125
2025.04.02	17:05:00	42314.87890625
2025.04.02	17:10:00	42351.5390625
2025.04.02	17:15:00	42325.5703125
2025.04.02	17:20:00	42326.46875
2025.04.02	17:25:00	42297.16015625
2025.04.02	17:30:00	42254.03125
2025.04.02	17:35:00	42232.48046875
2025.04.02	17:40:00	42187.76953125
2025.04.02	17:45:00	42137.44921875
2025.04.02	17:50:00	42129.859375
2025.04.02	17:55:00	42158.46875
2025.04.02	18:00:00	42123.8984375
2025.04.02	18:05:00	42092.6796875
2025.04.02	18:10:00	42095.4296875
2025.04.02	18:15:00	42060.78125
2025.04.02	18:20:00	42032.05859375
2025.04.02	18:25:00	41975.4296875
2025.04.02	18:30:00	42031.8515625
2025.04.02	18:35:00	42111.94140625
2025.04.02	18:40:00	42128.30078125
2025.04.02	18:45:00	42124.390625
2025.04.02	18:50:00	42098.76953125
2025.04.02	18:55:00	41983.12890625
2025.04.02	19:00:00	42090.58984375
2025.04.02	19:05:00	42083.44140625
2025.04.02	19:10:00	42056.25
2025.04.02	19:15:00	42051.44140625
2025.04.02	19:20:00	42104.640625
2025.04.02	19:25:00	42132.23828125
2025.04.02	19:30:00	42183.578125
2025.04.02	19:35:00	42171.3203125
2025.04.02	19:40:00	42226.4609375
2025.04.02	19:45:00	42272.26953125
2025.04.02	19:50:00	42268.2890625
2025.04.02	19:55:00	42214.5
2025.04.03	13:30:00	41105.44921875
2025.04.03	13:35:00	41144.55078125
2025.04.03	13:40:00	41077.01171875
2025.04.03	13:45:00	40959.66015625
2025.04.03	13:50:00	40917.26171875
2025.04.03	13:55:00	40869.69921875
2025.04.03	14:00:00	40762.1015625
2025.04.03	14:05:00	40720.640625
2025.04.03	14:10:00	40688.1015625
2025.04.03	14:15:00	40673.26953125
2025.04.03	14:20:00	40680.6015625
2025.04.03	14:25:00	40737.6484375
2025.04.03	14:30:00	40732.0
2025.04.03	14:35:00	40722.33984375
2025.04.03	14:40:00	40736.62890625
2025.04.03	14:45:00	40701.98046875
2025.04.03	14:50:00	40684.53125
2025.04.03	14:55:00	40648.37109375
2025.04.03	15:00:00	40676.12109375
2025.04.03	15:05:00	40659.26171875
2025.04.03	15:10:00	40757.7109375
2025.04.03	15:15:00	40810.76171875
2025.04.03	15:20:00	40813.80078125
2025.04.03	15:25:00	40793.41015625
2025.04.03	15:30:00	40842.69140625
2025.04.03	15:35:00	40894.578125
2025.04.03	15:40:00	40906.94921875
2025.04.03	15:45:00	40864.3515625
2025.04.03	15:50:00	40880.62890625
2025.04.03	15:55:00	40911.4296875
2025.04.03	16:00:00	40927.12890625
2025.04.03	16:05:00	40927.23828125
2025.04.03	16:10:00	41017.44921875
2025.04.03	16:15:00	41058.3984375
2025.04.03	16:20:00	41065.08984375
2025.04.03	16:25:00	41111.23828125
2025.04.03	16:30:00	41016.69921875
2025.04.03	16:35:00	41014.19140625
2025.04.03	16:40:00	41039.6796875
2025.04.03	16:45:00	41046.9296875
2025.04.03	16:50:00	40927.73828125
2025.04.03	16:55:00	40943.2890625
2025.04.03	17:00:00	40945.30859375
2025.04.03	17:05:00	40943.51953125
2025.04.03	17:10:00	40948.9296875
2025.04.03	17:15:00	40929.37109375
2025.04.03	17:20:00	40889.5
2025.04.03	17:25:00	40879.12890625
2025.04.03	17:30:00	40896.33984375
2025.04.03	17:35:00	40955.48046875
2025.04.03	17:40:00	40977.359375
2025.04.03	17:45:00	40945.6796875
2025.04.03	17:50:00	40921.28125
2025.04.03	17:55:00	40868.21875
2025.04.03	18:00:00	40871.87890625
2025.04.03	18:05:00	40840.6015625
2025.04.03	18:10:00	40801.98046875
2025.04.03	18:15:00	40780.58984375
2025.04.03	18:20:00	40784.5390625
2025.04.03	18:25:00	40792.390625
2025.04.03	18:30:00	40743.8515625
2025.04.03	18:35:00	40811.140625
2025.04.03	18:40:00	40854.828125
2025.04.03	18:45:00	40867.6484375
2025.04.03	18:50:00	40813.03125
2025.04.03	18:55:00	40838.30859375
2025.04.03	19:00:00	40804.23046875
2025.04.03	19:05:00	40804.58984375
2025.04.03	19:10:00	40754.58984375
2025.04.03	19:15:00	40681.25
2025.04.03	19:20:00	40667.23046875
2025.04.03	19:25:00	40646.19140625
2025.04.03	19:30:00	40585.3203125
2025.04.03	19:35:00	40611.8203125
2025.04.03	19:40:00	40662.94140625
2025.04.03	19:45:00	40583.69921875
2025.04.03	19:50:00	40598.0
2025.04.03	19:55:00	40546.05859375
2025.04.04	13:30:00	39590.5
2025.04.04	13:35:00	39468.859375
2025.04.04	13:40:00	39387.80078125
2025.04.04	13:45:00	39451.6484375
2025.04.04	13:50:00	39450.859375
2025.04.04	13:55:00	39585.30859375
2025.04.04	14:00:00	39499.98828125
2025.04.04	14:05:00	39414.51953125
2025.04.04	14:10:00	39304.23828125
2025.04.04	14:15:00	39300.078125
2025.04.04	14:20:00	39278.94921875
2025.04.04	14:25:00	39179.51953125
2025.04.04	14:30:00	39139.28125
2025.04.04	14:35:00	39159.421875
2025.04.04	14:40:00	39080.51953125
2025.04.04	14:45:00	38907.3203125
2025.04.04	14:50:00	39068.671875
2025.04.04	14:55:00	39139.26171875
2025.04.04	15:00:00	39468.859375
2025.04.04	15:05:00	39364.640625
2025.04.04	15:10:00	39377.98046875
2025.04.04	15:15:00	39443.28125
2025.04.04	15:20:00	39529.71875
2025.04.04	15:25:00	39150.9296875
2025.04.04	15:30:00	39160.53125
2025.04.04	15:35:00	39076.8515625
2025.04.04	15:40:00	39129.05078125
2025.04.04	15:45:00	39233.30859375
2025.04.04	15:50:00	39136.91015625
2025.04.04	15:55:00	39042.12890625
2025.04.04	16:00:00	39072.3984375
2025.04.04	16:05:00	39097.359375
2025.04.04	16:10:00	39169.30078125
2025.04.04	16:15:00	38956.71875
2025.04.04	16:20:00	38940.30078125
2025.04.04	16:25:00	38936.08984375
2025.04.04	16:30:00	38879.890625
2025.04.04	16:35:00	39027.8515625
2025.04.04	16:40:00	38909.2109375
2025.04.04	16:45:00	38874.41015625
2025.04.04	16:50:00	38914.80859375
2025.04.04	16:55:00	38904.3203125
2025.04.04	17:00:00	38924.26171875
2025.04.04	17:05:00	38812.6484375
2025.04.04	17:10:00	38689.828125
2025.04.04	17:15:00	38659.2109375
2025.04.04	17:20:00	38755.109375
2025.04.04	17:25:00	38788.1796875
2025.04.04	17:30:00	38810.66015625
2025.04.04	17:35:00	38941.05078125
2025.04.04	17:40:00	38900.87109375
2025.04.04	17:45:00	39015.359375
2025.04.04	17:50:00	38910.6015625
2025.04.04	17:55:00	39011.1015625
2025.04.04	18:00:00	39008.26171875
2025.04.04	18:05:00	38870.578125
2025.04.04	18:10:00	38796.55078125
2025.04.04	18:15:00	38716.12890625
2025.04.04	18:20:00	38654.890625
2025.04.04	18:25:00	38596.19140625
