<DATE>	<TIME>	<CLOSE>
2025.03.03	14:30:00	5979.669921875
2025.03.03	14:35:00	5964.7001953125
2025.03.03	14:40:00	5960.580078125
2025.03.03	14:45:00	5954.669921875
2025.03.03	14:50:00	5952.41015625
2025.03.03	14:55:00	5937.0400390625
2025.03.03	15:00:00	5939.1298828125
2025.03.03	15:05:00	5931.9599609375
2025.03.03	15:10:00	5930.93017578125
2025.03.03	15:15:00	5932.830078125
2025.03.03	15:20:00	5944.10986328125
2025.03.03	15:25:00	5952.7099609375
2025.03.03	15:30:00	5952.56982421875
2025.03.03	15:35:00	5948.6201171875
2025.03.03	15:40:00	5962.669921875
2025.03.03	15:45:00	5945.56005859375
2025.03.03	15:50:00	5951.02978515625
2025.03.03	15:55:00	5936.31982421875
2025.03.03	16:00:00	5942.759765625
2025.03.03	16:05:00	5940.66015625
2025.03.03	16:10:00	5944.64990234375
2025.03.03	16:15:00	5948.41015625
2025.03.03	16:20:00	5956.08984375
2025.03.03	16:25:00	5937.18994140625
2025.03.03	16:30:00	5935.2001953125
2025.03.03	16:35:00	5928.8798828125
2025.03.03	16:40:00	5925.22021484375
2025.03.03	16:45:00	5937.77978515625
2025.03.03	16:50:00	5942.06982421875
2025.03.03	16:55:00	5942.77001953125
2025.03.03	17:00:00	5942.89013671875
2025.03.03	17:05:00	5944.14013671875
2025.03.03	17:10:00	5948.35009765625
2025.03.03	17:15:00	5951.41015625
2025.03.03	17:20:00	5951.52001953125
2025.03.03	17:25:00	5949.509765625
2025.03.03	17:30:00	5946.0498046875
2025.03.03	17:35:00	5948.830078125
2025.03.03	17:40:00	5948.509765625
2025.03.03	17:45:00	5944.56982421875
2025.03.03	17:50:00	5935.43994140625
2025.03.03	17:55:00	5931.93017578125
2025.03.03	18:00:00	5926.06982421875
2025.03.03	18:05:00	5911.4599609375
2025.03.03	18:10:00	5904.27978515625
2025.03.03	18:15:00	5908.4599609375
2025.03.03	18:20:00	5911.85009765625
2025.03.03	18:25:00	5892.6298828125
2025.03.03	18:30:00	5889.2998046875
2025.03.03	18:35:00	5888.43017578125
2025.03.03	18:40:00	5895.580078125
2025.03.03	18:45:00	5898.830078125
2025.03.03	18:50:00	5899.0498046875
2025.03.03	18:55:00	5903.52978515625
2025.03.03	19:00:00	5909.1201171875
2025.03.03	19:05:00	5909.60009765625
2025.03.03	19:10:00	5905.330078125
2025.03.03	19:15:00	5897.080078125
2025.03.03	19:20:00	5900.85009765625
2025.03.03	19:25:00	5896.580078125
2025.03.03	19:30:00	5906.75
2025.03.03	19:35:00	5907.7900390625
2025.03.03	19:40:00	5914.1201171875
2025.03.03	19:45:00	5897.93994140625
2025.03.03	19:50:00	5879.580078125
2025.03.03	19:55:00	5872.3701171875
2025.03.03	20:00:00	5855.47021484375
2025.03.03	20:05:00	5847.58984375
