<DATE>	<TIME>	<CLOSE>
2025.04.01	15:20:00	13324.2001953125
2025.04.01	15:25:00	13321.2001953125
2025.04.02	07:00:00	13313.2001953125
2025.04.02	07:05:00	13285.599609375
2025.04.02	07:10:00	13280.900390625
2025.04.02	07:15:00	13308.7998046875
2025.04.02	07:20:00	13309.2001953125
2025.04.02	07:25:00	13290.599609375
2025.04.02	07:30:00	13326.900390625
2025.04.02	07:35:00	13314.400390625
2025.04.02	07:40:00	13312.599609375
2025.04.02	07:45:00	13312.7998046875
2025.04.02	07:50:00	13308.400390625
2025.04.02	07:55:00	13316.2001953125
2025.04.02	08:00:00	13293.599609375
2025.04.02	08:05:00	13287.2001953125
2025.04.02	08:10:00	13297.400390625
2025.04.02	08:15:00	13301.2001953125
2025.04.02	08:20:00	13292.400390625
2025.04.02	08:25:00	13308.2998046875
2025.04.02	08:30:00	13322.599609375
2025.04.02	08:35:00	13323.400390625
2025.04.02	08:40:00	13326.599609375
2025.04.02	08:45:00	13344.599609375
2025.04.02	08:50:00	13326.599609375
2025.04.02	08:55:00	13317.599609375
2025.04.02	09:00:00	13322.2998046875
2025.04.02	09:05:00	13325.7998046875
2025.04.02	09:10:00	13332.0
2025.04.02	09:15:00	13322.2001953125
2025.04.02	09:20:00	13332.400390625
2025.04.02	09:25:00	13332.599609375
2025.04.02	09:30:00	13330.5
2025.04.02	09:35:00	13322.599609375
2025.04.02	09:40:00	13325.7001953125
2025.04.02	09:45:00	13314.0
2025.04.02	09:50:00	13324.599609375
2025.04.02	09:55:00	13311.099609375
2025.04.02	10:00:00	13291.2998046875
2025.04.02	10:05:00	13295.0
2025.04.02	10:10:00	13304.099609375
2025.04.02	10:15:00	13312.099609375
2025.04.02	10:20:00	13306.599609375
2025.04.02	10:25:00	13305.599609375
2025.04.02	10:30:00	13301.099609375
2025.04.02	10:35:00	13288.7001953125
2025.04.02	10:40:00	13288.0
2025.04.02	10:45:00	13296.2998046875
2025.04.02	10:50:00	13292.7998046875
2025.04.02	10:55:00	13293.400390625
2025.04.02	11:00:00	13292.2998046875
2025.04.02	11:05:00	13298.2998046875
2025.04.02	11:10:00	13299.2998046875
2025.04.02	11:15:00	13302.2998046875
2025.04.02	11:20:00	13291.599609375
2025.04.02	11:25:00	13292.0
2025.04.02	11:30:00	13284.599609375
2025.04.02	11:35:00	13264.2998046875
2025.04.02	11:40:00	13273.5
2025.04.02	11:45:00	13283.7998046875
2025.04.02	11:50:00	13284.7998046875
2025.04.02	11:55:00	13281.5
2025.04.02	12:00:00	13275.0
2025.04.02	12:05:00	13267.2001953125
2025.04.02	12:10:00	13265.099609375
2025.04.02	12:15:00	13261.2998046875
2025.04.02	12:20:00	13247.099609375
2025.04.02	12:25:00	13238.7998046875
2025.04.02	12:30:00	13242.599609375
2025.04.02	12:35:00	13253.7998046875
2025.04.02	12:40:00	13261.2998046875
2025.04.02	12:45:00	13272.0
2025.04.02	12:50:00	13273.2001953125
2025.04.02	12:55:00	13275.400390625
2025.04.02	13:00:00	13285.2001953125
2025.04.02	13:05:00	13292.099609375
2025.04.02	13:10:00	13280.400390625
2025.04.02	13:15:00	13272.7998046875
2025.04.02	13:20:00	13270.5
2025.04.02	13:25:00	13266.5
2025.04.02	13:30:00	13300.599609375
2025.04.02	13:35:00	13306.900390625
2025.04.02	13:40:00	13294.2998046875
2025.04.02	13:45:00	13290.400390625
2025.04.02	13:50:00	13287.5
2025.04.02	13:55:00	13281.400390625
2025.04.02	14:00:00	13290.2998046875
2025.04.02	14:05:00	13308.599609375
2025.04.02	14:10:00	13303.5
2025.04.02	14:15:00	13306.099609375
2025.04.02	14:20:00	13291.2001953125
2025.04.02	14:25:00	13291.0
2025.04.02	14:30:00	13309.5
2025.04.02	14:35:00	13330.0
2025.04.02	14:40:00	13337.0
2025.04.02	14:45:00	13334.900390625
2025.04.02	14:50:00	13328.7998046875
2025.04.02	14:55:00	13326.7001953125
2025.04.02	15:00:00	13325.599609375
2025.04.02	15:05:00	13327.7998046875
