<DATE>	<TIME>	<CLOSE>
2025.03.03	08:00:00	13330.0
2025.03.03	08:05:00	13315.900390625
2025.03.03	08:10:00	13304.099609375
2025.03.03	08:15:00	13293.2001953125
2025.03.03	08:20:00	13278.0
2025.03.03	08:25:00	13229.7998046875
2025.03.03	08:30:00	13225.2998046875
2025.03.03	08:35:00	13233.2001953125
2025.03.03	08:40:00	13258.2001953125
2025.03.03	08:45:00	13237.900390625
2025.03.03	08:50:00	13232.5
2025.03.03	08:55:00	13245.599609375
2025.03.03	09:00:00	13249.0
2025.03.03	09:05:00	13248.900390625
2025.03.03	09:10:00	13248.900390625
2025.03.03	09:15:00	13261.900390625
2025.03.03	09:20:00	13265.900390625
2025.03.03	09:25:00	13271.2998046875
2025.03.03	09:30:00	13277.7998046875
2025.03.03	09:35:00	13276.400390625
2025.03.03	09:40:00	13281.400390625
2025.03.03	09:45:00	13291.400390625
2025.03.03	09:50:00	13297.2998046875
2025.03.03	09:55:00	13294.5
2025.03.03	10:00:00	13290.599609375
2025.03.03	10:05:00	13294.5
2025.03.03	10:10:00	13294.7998046875
2025.03.03	10:15:00	13300.099609375
2025.03.03	10:20:00	13290.7001953125
2025.03.03	10:25:00	13299.099609375
2025.03.03	10:30:00	13315.400390625
2025.03.03	10:35:00	13321.2001953125
2025.03.03	10:40:00	13325.599609375
2025.03.03	10:45:00	13329.7998046875
2025.03.03	10:50:00	13330.5
2025.03.03	10:55:00	13326.400390625
2025.03.03	11:00:00	13322.099609375
2025.03.03	11:05:00	13322.400390625
2025.03.03	11:10:00	13319.5
2025.03.03	11:15:00	13330.7001953125
2025.03.03	11:20:00	13331.5
2025.03.03	11:25:00	13341.0
2025.03.03	11:30:00	13333.0
2025.03.03	11:35:00	13329.099609375
2025.03.03	11:40:00	13335.599609375
2025.03.03	11:45:00	13345.599609375
2025.03.03	11:50:00	13352.7998046875
2025.03.03	11:55:00	13357.5
2025.03.03	12:00:00	13355.2998046875
2025.03.03	12:05:00	13357.2998046875
2025.03.03	12:10:00	13369.400390625
2025.03.03	12:15:00	13372.400390625
2025.03.03	12:20:00	13391.7998046875
2025.03.03	12:25:00	13385.7998046875
2025.03.03	12:30:00	13382.2001953125
2025.03.03	12:35:00	13378.2998046875
2025.03.03	12:40:00	13379.0
2025.03.03	12:45:00	13392.2001953125
