<DATE>	<TIME>	<CLOSE>
2025.03.01	23:35:00	85804.09375
2025.03.01	23:40:00	85729.125
2025.03.01	23:45:00	85842.0625
2025.03.01	23:50:00	85927.6484375
2025.03.01	23:55:00	86039.7578125
2025.03.02	00:00:00	85986.3125
2025.03.02	00:05:00	86100.6484375
2025.03.02	00:10:00	85984.4375
2025.03.02	00:15:00	85990.8828125
2025.03.02	00:20:00	85837.4609375
2025.03.02	00:25:00	85862.609375
2025.03.02	00:30:00	86066.8203125
2025.03.02	00:35:00	86155.1953125
2025.03.02	00:40:00	86163.9765625
2025.03.02	00:45:00	86098.1171875
2025.03.02	00:50:00	86084.2890625
2025.03.02	00:55:00	85988.0859375
2025.03.02	01:00:00	86122.96875
2025.03.02	01:05:00	86144.3515625
2025.03.02	01:10:00	86237.625
2025.03.02	01:15:00	86301.2109375
2025.03.02	01:20:00	86213.7578125
2025.03.02	01:25:00	86181.484375
2025.03.02	01:30:00	86052.9375
2025.03.02	01:35:00	86225.3984375
2025.03.02	01:40:00	86165.359375
2025.03.02	01:45:00	86203.8203125
2025.03.02	01:50:00	86295.7109375
2025.03.02	01:55:00	86305.265625
2025.03.02	02:00:00	86383.0390625
2025.03.02	02:05:00	86443.1015625
2025.03.02	02:10:00	86294.9921875
2025.03.02	02:15:00	86204.03125
2025.03.02	02:20:00	86215.0546875
2025.03.02	02:25:00	86105.359375
2025.03.02	02:30:00	85743.7578125
2025.03.02	02:35:00	85774.3671875
2025.03.02	02:40:00	85673.859375
2025.03.02	02:45:00	85827.234375
2025.03.02	02:50:00	85680.5390625
2025.03.02	02:55:00	85671.1640625
2025.03.02	03:00:00	85796.90625
2025.03.02	03:05:00	85850.21875
2025.03.02	03:10:00	85900.640625
2025.03.02	03:15:00	85843.2421875
2025.03.02	03:20:00	85743.15625
2025.03.02	03:25:00	85822.609375
2025.03.02	03:30:00	85803.046875
2025.03.02	03:35:00	85798.0546875
2025.03.02	03:40:00	85881.1796875
2025.03.02	03:45:00	85985.671875
2025.03.02	03:50:00	85987.609375
2025.03.02	03:55:00	85876.8125
2025.03.02	04:00:00	85787.953125
2025.03.02	04:05:00	85656.6171875
2025.03.02	04:10:00	85689.0
2025.03.02	04:15:00	85659.7109375
2025.03.02	04:20:00	85537.1953125
2025.03.02	04:25:00	85647.109375
2025.03.02	04:30:00	85556.28125
2025.03.02	04:35:00	85523.25
2025.03.02	04:40:00	85697.0546875
2025.03.02	04:45:00	85733.3515625
2025.03.02	04:50:00	85735.6875
2025.03.02	04:55:00	85680.6953125
2025.03.02	05:00:00	85651.046875
2025.03.02	05:05:00	85734.5859375
2025.03.02	05:10:00	85809.1953125
2025.03.02	05:15:00	85846.5859375
2025.03.02	05:20:00	85856.046875
2025.03.02	05:25:00	85885.359375
2025.03.02	05:30:00	85940.390625
2025.03.02	05:35:00	85959.8203125
2025.03.02	05:40:00	85847.34375
2025.03.02	05:45:00	85824.96875
2025.03.02	05:50:00	85837.8515625
2025.03.02	05:55:00	85900.9765625
2025.03.02	06:00:00	86049.5546875
2025.03.02	06:05:00	85968.78125
2025.03.02	06:10:00	85974.4375
2025.03.02	06:15:00	85907.3125
2025.03.02	06:20:00	86078.546875
2025.03.02	06:25:00	86154.3125
2025.03.02	06:30:00	86219.7578125
2025.03.02	06:35:00	86284.34375
2025.03.02	06:40:00	86266.9453125
2025.03.02	06:45:00	86392.6484375
2025.03.02	06:50:00	86288.8984375
2025.03.02	06:55:00	86237.953125
2025.03.02	07:00:00	86195.03125
2025.03.02	07:05:00	86173.3125
2025.03.02	07:10:00	86117.34375
2025.03.02	07:15:00	86089.6796875
2025.03.02	07:20:00	86137.4375
2025.03.02	07:25:00	86192.4375
2025.03.02	07:30:00	86253.5390625
2025.03.02	07:35:00	86204.6328125
2025.03.02	07:40:00	86268.1328125
2025.03.02	07:45:00	86249.5234375
2025.03.02	07:50:00	86149.4765625
2025.03.02	07:55:00	86202.1796875
2025.03.02	08:00:00	86062.90625
